firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT
TH,DS,10.3389/fpsyg.2015.01425,"Englert, C; Wolff, W",2015,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000362853300001
TH,DS,10.1002/hbm.22833,"Lebedev, AV; Lovden, M; Rosenthal, G; Feilding, A; Nutt, DJ; Carhart-Harris, RL",2015,FALSE,"NA",Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000357949900021
TH,DS,10.1080/00221309.2015.1063475,"Frane, A",2015,FALSE,"NA",Empirical data - field study,FALSE,unclassifiable,unclassifiable,NA,NA,NA,NA,NA,NA,NA,WOS:000359949600005
TH,DS,NA,"Dienstbier, RA",2015,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000383890800023
SC,TH,10.1016/j.joep.2018.11.001,"Alos-Ferrer, Carlos; Ritschel, Alexander; Garcia-Segarra, Jaume; Achtziger, Anja",2019,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"1) Further discussion (Carter and McCullough, 2014; Hagger and Chatzisarantis, 2014) culminated in a registered replication report (Hagger et al., 2016), which failed to find significant effects. This has led to skepticism and thorough questioning of the evidence (see, e.g., Gissubel, Beiramar, & Freire, 2018). The results of Hagger et al. (2016) were contested by Baumeister and Vohs (2016) due to the implementation of the initial task. In this task, based on Baumeister et al. (1998), self-control resources are depleted by crossing out instances of the letter “e” according to a complex rule with several exceptions (compared with the control, where all instances are crossed out). Inhibiting the impulse to cross out the letter requires self-control. Hagger et al. (2016) used a computerized version of the task by Sripada et al. (2014) which did not include a so-called habituation phase. Baumeister and Vohs (2016) argued that the habituation phase is necessary to create the habit which is to be inhibited later.          2) For the RTV analyses (and only for those) we further excluded participants with RTVs two standard deviations away from the experiment’s mean (15 exclusions), yielding N = 222 and N = 224 for Experiment 1 and Experiment 2, respectively. The registered replication of Hagger et al. (2016) used a demanding exclusion rule by which all participants with an error rate of 20% or more in the “e” task were excluded from the analysis. This criterion is questionable, because if the manipulation works, participants in the depletion condition face a cognitively more demanding task than controls, and hence it is to be expected that the exclusion rule leads to a selection problem where significantly more participants are excluded in the depletion condition than in the control condition. Higher error rates for the depletion task are, simply put, part of the nature of the task. This was overwhelmingly the case in both of our (independent) samples. Surprisingly, Hagger et al. (2016) report that this only occurred in 5 of the 23 studies they include, raising reasonable doubts as to whether their manipulation (without habituation) actually successfully induced ego depletion. In view of this possible criticism, we analyzed our data both with the exclusion rule mentioned above and without it. However, we obtained qualitatively the same results in both cases, and hence report here the largest sample, adding only a summary of the analysis of the restricted sample at the end of the Results section.",NA,NA,WOS:000503325400003
SC,TH,10.1027/1864-9335/a000375,"Vadillo, Miguel A.",2019,FALSE,NA,Data synthesis,TRUE,favourable,equivocal,TRUE,NA,NA,TRUE,"1) In psychology and the behavioral sciences, large-scale replication studies have typically obtained smaller effects than the original experiments they were intended to replicate. In the famous Open Science Collaboration (2015), a massive multi-site study aimed at replicating 100 random studies from four prestigious psychology journals, the effect sizes of the replications were, on average, half the size of the original studies (see also Camerer et al., 2018; Hawkins et al., 2018). Similarly, Camerer et al. (2016) replicated 18 experiments in economics and found numerically smaller effect sizes in 14 of them, compared to the results of the original experiments. Although some (less than half) of the effects tested in Many Labs 1 (Klein et al., 2014) yielded larger effects than the originals, Many Labs 3 (Ebersole et al., 2016) found systematically smaller effect sizes in all cases, and so have all the Registered Replication Reports (RRR) published so far in Perspectives in Psychological Science (e.g., Hagger et al., 2016; O’Donnell et al., 2018; Wagenmakers et al., 2016). Many factors may explain why observed effect sizes tend to decline over time. In some cases, the decline may reflect a genuine change in the prevalence or strength of the effect. For instance, meta-analytic evidence that the effectiveness of cognitive behavioral therapy is falling has been attributed to a decrease in the placebo effect elicited by this type of therapy (Johnsen & Friborg, 2015). In the same vein, Dijksterhuis (2018) and Strack (2016) have argued that failures to replicate their findings in RRRs are possibly due to the fact that participants in these studies, usually psychology students, are now more likely to be familiar with the effects under study, as they have become common topics in undergraduate psychology courses (see also Rand, 2018, for a similar argument). It is also possible that the smaller effects reported in most replication attempts are due to the use of imperfect methods. For instance, it has been claimed that “replicators” may lack the necessary expertise or competence (Baumeister, 2016), that the procedures of multi-site studies may be less sensitive than those of the original studies (Baumeister & Vohs, 2016), and that the samples tested in replications may differ in crucial characteristics from the samples tested in the original studies (Gilbert, King, Pettigrew, & Wilson, 2016; Vohs, 2015).                        2)Between 2013 and 2015, Evan Carter and colleagues published a series of meta-analytic studies showing alarming signs of publication and reporting biases in the ego depletion literature (Carter, Kofler, Forster, & McCullough, 2015; Carter & McCullough, 2013, 2014). Several analyses converged to the conclusion that once corrected for bias, the average effect size of these studies might not be significantly different from zero (see also Yost, 2016). To dissipate all doubts about the reliability of these effects, Martin Hagger and Nikos Chatzisarantis coordinated a large-scale RRR collecting data from 23 independent laboratories which, disappointingly, failed to find convincing evidence of ego depletion (Hagger et al., 2016). Baumeister and Vohs (2016) argued that the null results could be attributable to the unfortunate choice of a low-demanding depleting task – a criticism supported by complementary analyses by Dang (2016) and Drummond and Philipp (2017) – and that no safe conclusion about the reliability of ego depletion effects could be drawn from a single RRR exploring just one among many alternative procedures. Following up on this criticism, Kathleen Vohs, Brandon Schmeichel, and Roy Baumeister have designed and coordinated a second RRR. Although while I write these lines the final results of this RRR are not formally published, according to a preliminary presentation at the 2018 Annual Convention of the Society for Personality and Social Psychology the study found a statistically significant, but tiny (d = 0.08), effect (Srivastava, 2018). While it is legitimate to see this result as a “successful” demonstration of ego depletion, in the sense that the effect is non-zero according to null hypothesis significance testing, it is also clear that this effect is remarkably smaller than the early demonstrations of the effect.",TRUE,"In psychology and the behavioral sciences, large-scale replication studies have typically obtained smaller effects than the original experiments they were intended to replicate. In the famous Open Science Collaboration (2015), a massive multi-site study aimed at replicating 100 random studies from four prestigious psychology journals, the effect sizes of the replications were, on average, half the size of the original studies (see also Camerer et al., 2018; Hawkins et al., 2018). Similarly, Camerer et al. (2016) replicated 18 experiments in economics and found numerically smaller effect sizes in 14 of them, compared to the results of the original experiments. Although some (less than half) of the effects tested in Many Labs 1 (Klein et al., 2014) yielded larger effects than the originals, Many Labs 3 (Ebersole et al., 2016) found systematically smaller effect sizes in all cases, and so have all the Registered Replication Reports (RRR) published so far in Perspectives in Psychological Science (e.g., Hagger et al., 2016; O’Donnell et al., 2018; Wagenmakers et al., 2016). Many factors may explain why observed effect sizes tend to decline over time. In some cases, the decline may reflect a genuine change in the prevalence or strength of the effect. For instance, meta-analytic evidence that the effectiveness of cognitive behavioral therapy is falling has been attributed to a decrease in the placebo effect elicited by this type of therapy (Johnsen & Friborg, 2015). In the same vein, Dijksterhuis (2018) and Strack (2016) have argued that failures to replicate their findings in RRRs are possibly due to the fact that participants in these studies, usually psychology students, are now more likely to be familiar with the effects under study, as they have become common topics in undergraduate psychology courses (see also Rand, 2018, for a similar argument). It is also possible that the smaller effects reported in most replication attempts are due to the use of imperfect methods. For instance, it has been claimed that “replicators” may lack the necessary expertise or competence (Baumeister, 2016), that the procedures of multi-site studies may be less sensitive than those of the original studies (Baumeister & Vohs, 2016), and that the samples tested in replications may differ in crucial characteristics from the samples tested in the original studies (Gilbert, King, Pettigrew, & Wilson, 2016; Vohs, 2015).",WOS:000495020100002
SC,TH,10.1027/1864-9335/a000365,"Wenzel, Mario; Lind, Marina; Rowland, Zarah; Zahn, Daniala; Kubiak, Thomas",2019,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"1) The replication project has been criticized for employing a first task that may not be depleting enough to yield an ego depletion effect (Baumeister & Vohs, 2016) and that the results were slightly moderated (but were still insignificant at each condition of the moderator) by English as the first language (Sripada, Kessler, & Jonides, 2016).              2)Lange and Eggert (2014) found significant performance differences in their self-control tasks; these differences could have been misattributed to the experimental manipulation, but instead, they were the result of baseline performance differences. This could also partially explain the substantial between-laboratory variance found in the multi-lab replication project (Hagger et al., 2016) for which all study centers used the same instructions and materials.         3) This design not only allows for a longer wash-out period, reducing possible effects due to practice or the experimental setup, but also tests for intraindividual moderators and mediators of the ego depletion effect within-subject by showing that changes of the level of an intraindividual moderator can explain individual self-control performance in the second task across the conditions. This is particularly important because one explanation for the null effects in the multilab replication project of ego depletion (Hagger et al., 2016) was that participants in the depletion condition found the first task frustrating but not fatiguing (Dang, 2017).",NA,NA,WOS:000495020100003
SC,TH,10.1027/1864-9335/a000393,"Wimmer, Marina C.; Dome, Lenard; Hancock, Peter J. B.; Wennekers, Thomas",2019,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"Third, a preregistered replication study involving 23 laboratories that used the letter cancellation task as ego depletion measure and the multi-source interference task as outcome measure of inhibitory control (Carter et al., 2015; Etherton et al., 2018; Hagger et al., 2016) raised further doubts about the strength of the effect. However, interestingly the replication study showed great variations in task performance in accuracy both between ego depleted and control participants and across different laboratories (15%–44% of participants performing < 80% correct) and a great range of effect sizes on response time differences between ego depleted and control participants (95% CI on Cohen’s d = 0.06, 0.36). Moreover, other studies using the letter cancellation task in single laboratory studies found positive ego depletion effects using different types of outcome tasks (Baumeister et al., 1998; Stripada, Kessler, & Jonides, 2014; Wan & Sternthal, 2008; see also Hagger et al., 2010 for an overview) perhaps prematurely dismissing the existence of the effect per se.",NA,NA,WOS:000495020100007
SC,TH,10.1002/per.2208,"Wenzel, Mario; Rowland, Zarah; Zahn, Daniela; Kubiak, Thomas",2019,FALSE,NA,Empirical data - laboratory study,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000478650900003
SC,TH,"NA","Christensen, G.; Freese, J.; Miguel, E.",2019,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000518823400013
