firstCoder,secondCoder,doi,authors,pubYear,excluded,exclusionReason,articleType,citesReplication,citationClassificationOriginal,citationClassificationAgreed,counterArguments,evidenceCounter,evidenceVerbatim,methodsCounter,methodsVerbatim,expertiseCounter,expertiseVerbatim,UT
RT,OA,10.1177/0956797617706161,"Caruso, Eugene M.; Shapira, Oren; Landy, Justin F.",2017,FALSE,"NA",Empirical data - multiple study types are reported,TRUE,favourable,favourable,TRUE,NA,NA,TRUE,"Note that research on money priming has also found that manipulations that do not activate the idea of abundance—such as thinking about small sums of money—do not induce self-sufficient behavior (Baumeister & Vohs, 2015). In addition to moderation by the type of prime used, some published studies have documented moderation by participant demographics such as gender (Yong & Li, 2012) and socioeconomic status (Mogilner, 2010).It has been argued that specific characteristics of the participant population may account for inconsistencies in recent attempts to replicate money-priming effects (Vohs, 2015). Indeed, previous results showing that reminders of money increased participants’ tendency to justify the existing social system in the United States (Caruso, Vohs, Baxter, & Waytz, 2013) were not replicated in other participant populations (Klein et al., 2014; Rohrer, Pashler, & Harris, 2015), whereas subsequent studies have found that the original effect is moderated by participants’ subjective wealth (Schuler & Wänke, 2016)....The existing research suggests that there may be both theoretical and empirical reasons to think that money-priming effects are highly sensitive to aspects of the experimental design and participant population. We believe the field is at a critical point for providing direct and systematic evidence for the source of such sensitivity to refine and advance the understanding of money-priming effects (Cesario, 2014; Locke, 2015).",NA,NA,WOS:000407019000011
RT,OA,10.1037/cou0000227,"Liu, William Ming",2017,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000404472400002
RT,OA,10.1016/j.jesp.2017.03.008,"Ding, Yi; Wu, Junhui; Ji, Tingting; Chen, Xu; Van Lange, Paul A. M.",2017,FALSE,"NA",Empirical data - multiple study types are reported,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000402350700014
RT,OA,10.1007/s10668-015-9723-1,"Kopnina, Helen",2017,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000394141200002
RT,OA,NA,"Bornstein, Robert F.; Craver-Lemley, Catherine",2017,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000441087700015
RT,OA,NA,"Cumming, G; CalinJageman, R",2017,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000414219100020
RT,OA,10.1080/02650487.2017.1335042,"Huettl-Maack, Verena; Gatter, M. Shirin",2017,FALSE,"NA",Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000407458800004
RT,OA,10.1080/1350178X.2016.1218531,"Herrmann-Pillath, Carsten",2016,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000385815700003
RT,OA,10.3390/ijerph13111075,"Prescott, Susan L.; Logan, Alan C.",2016,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000389571300034
RT,OA,10.1002/mar.20927,"Whelan, Jodie; Goode, Miranda R.; Cotte, June; Thomson, Matthew",2016,FALSE,"NA",Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000387776800003
RT,OA,10.1017/mor.2015.53,"Mok, Aurelia; De Cremer, David",2016,FALSE,"NA",Empirical data - multiple study types are reported,FALSE,unclassifiable,unclassifiable,NA,NA,NA,NA,NA,NA,NA,WOS:000384333500008
RT,OA,10.1177/0963721416656348,"Street, Chris N. H.; Vadillo, Miguel A.",2016,FALSE,"NA",No empirical data,FALSE,unfavourable,unfavourable,NA,NA,NA,NA,NA,NA,NA,WOS:000382567300007
RT,OA,10.1037/xge0000157,"Vadillo, Miguel A.; Hardwicke, Tom E.; Shanks, David R.",2016,FALSE,"NA",Data synthesis - meta-analysis,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000374770900011
RT,OA,10.1177/1948550616628608,"Schuler, Johannes; Waenke, Michaela",2016,FALSE,"NA",Empirical data - multiple study types are reported,TRUE,equivocal,equivocal,TRUE,NA,NA,TRUE,"1: On the one hand, looking at the overall pattern, the present research further shows that the findings from Caruso and colleagues (2013) are difficult to replicate (see: Klein et al., 2014; Rohrer et al., 2015). On the other hand, our research identified a moderator that may account for the effect found by Caruso et al. (2013, studies 1 and 2) if we assume that their participants were of relatively high subjective SES (students of an elite U.S. university with renowned prestige, education, and excellent job perspectives) compared to the replication samples. Note, however, that such tentative conclusions are only based on three conceptual replications and an educated guess about the subjective social standing of Caruso et al.’s participants. 2: In this respect, it may be interesting to note that other studies could not replicate the original findings (Klein et al., 2014; Rohrer, Pashler, & Harris, 2015). Indeed, according to our reasoning, the effect may strongly vary depending on participants.",NA,NA,WOS:000374020700009
RT,OA,10.3389/fpsyg.2016.00609,"Trzcinska, Agata; Sekscinska, Katarzyna",2016,FALSE,"NA",Empirical data - field study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000374933500001
RT,OA,10.1080/1359432X.2015.1051038,"Mok, Aurelia; De Cremer, David",2016,FALSE,"NA",Empirical data - survey,FALSE,unclassifiable,unclassifiable,NA,NA,NA,NA,NA,NA,NA,WOS:000368680900008
RT,OA,10.1007/s11109-015-9305-9,"Peterson, Erik",2016,FALSE,"NA",Empirical data - field study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000374964000002
RT,OA,10.1016/j.evolhumbehav.2015.10.003,"Rosati, Alexandra G.; Hare, Brian",2016,FALSE,"NA",Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000370888300009
RT,OA,10.1080/01973533.2015.1129336,"Sinha, Jayati",2016,FALSE,"NA",Empirical data - commentary including analysis,FALSE,unclassifiable,unclassifiable,NA,NA,NA,NA,NA,NA,NA,WOS:000375398000005
RT,OA,10.1080/00224545.2015.1047438,"Capaldi, Colin A.; Zelenski, John M.",2016,FALSE,"NA",Empirical data - survey,FALSE,equivocal,equivocal,NA,NA,NA,NA,NA,NA,NA,WOS:000366446500001
RT,OA,10.1027/2151-2604/a000250,"Kuehberger, Anton; Scherndl, Thomas; Ludwig, Bastian; Simon, Dominique M.",2016,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000391262500002
RT,OA,10.1080/00213624.2016.1179070,"Duroy, Quentin",2016,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000382755100032
RT,OA,10.1146/annurev-psych-122414-033344,"Kasser, Tim",2016,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000368344500021
RT,OA,10.1057/9781137345257,"Lieberman, D. A.",2016,TRUE,No access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000446890800009
RT,OA,NA,"Samaha, Adam M.",2015,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000368202300002
RT,OA,10.1037/apl0000022,"Milkman, Katherine L.; Akinola, Modupe; Chugh, Dolly",2015,FALSE,"NA",Empirical data - field study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000364588900002
RT,OA,10.1016/j.ecolecon.2014.06.021,"Farley, Joshua; Schmitt Filho, Abdon; Burke, Matthew; Farr, Marigo",2015,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000360512800028
RT,OA,10.1037/xge0000058,"Rohrer, Doug; Pashler, Harold; Harris, Christine R.",2015,FALSE,"NA",Empirical data - multiple study types are reported,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000358693000003
RT,OA,10.1037/xge0000091,"Vohs, Kathleen D.",2015,FALSE,"NA",No empirical data,TRUE,equivocal,equivocal,TRUE,NA,NA,TRUE,"Why, then, did other authors (Klein et al., 2014; Rohrer et al., in press) fail to replicate Caruso et al. (2013)? Two ideas are worth considering. One focuses on the outcomes that have been studied. There seem to be two routes by which a situational manipulation could lead to support for existing socioeconomic systems. A second idea focuses on the stimulus, money. The meaning of money could differ among participants tested by Caruso et al. and other participants.",NA,NA,WOS:000358693000004
RT,OA,10.1111/etap.12139,"Cholakova, Magdalena; Clarysse, Bart",2015,FALSE,"NA",Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000347348700008
RT,OA,10.1561/105.00000024,"Lindenberg, Siegwart",2015,FALSE,"NA",No empirical data,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000438962600009
RT,OA,10.1016/j.socec.2013.09.004,"Gueguen, Nicolas; Jacob, Celine",2013,FALSE,"NA",Empirical data - field study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000333061800011
SC,TH,"NA","Chivers, Tom",2019,FALSE,NA,No empirical data,FALSE,unfavourable,unfavourable,NA,NA,NA,NA,NA,NA,NA,WOS:000502792400034
SC,TH,10.3390/math7121241,"Druica, Elena; Valsan, Calin; Ianole-Calin, Rodica; Mihail-Papuc, Razvan; Munteanu, Irena",2019,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000506643400108
SC,TH,10.1080/15213269.2018.1484769,"Leyva, Rodolfo",2019,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000475397600003
SC,TH,10.1080/01973533.2019.1624965,"Rohrer, Doug; Pashler, Harold; Harris, Christine R.",2019,FALSE,NA,Empirical data - laboratory study,TRUE,unfavourable,unfavourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000478217900001
SC,TH,10.1088/1748-9326/ab114f,"Martin, Adrian; Kebede, Bereket; Gross-Camp, Nicole; He, Jun; Inturias, Mirna; Rodriguez, Iokine",2019,FALSE,NA,Empirical data - survey,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000468901700002
SC,TH,10.1093/jcr/ucy012,"Zhou, Xinyue; Kim, Sara; Wang, Lili",2019,FALSE,NA,Empirical data - laboratory study,FALSE,favourable,favourable,NA,NA,NA,NA,NA,NA,NA,WOS:000481978500004
SC,TH,10.5964/jspp.v5i2.748,"Schuler, Johannes; Ivanov, Igor; Waenke, Michaela",2017,FALSE,NA,Empirical data - multiple study types are reported,TRUE,favourable,favourable,FALSE,NA,NA,NA,NA,NA,NA,WOS:000514922700005
