PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,NA,"Arango-Munoz, Santiago",NA,NA,NA,NA,NA,NA,NA,Cognitive phenomenology and metacognitive feelings,NA,NA,NA,NA,NA,NA,NA,MIND & LANGUAGE,NA,NA,NA,34,2,NA,NA,247,262,NA,10.1111/mila.12215,NA,NA,19-Apr,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000465428400006,NA
J,NA,"Stroebe, Wolfgang",NA,NA,NA,NA,NA,NA,NA,What Can We Learn from Many Labs Replications?,NA,NA,NA,NA,NA,NA,NA,BASIC AND APPLIED SOCIAL PSYCHOLOGY,NA,NA,NA,41,2,NA,NA,91,103,NA,10.1080/01973533.2019.1577736,NA,NA,MAR 4 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000463801200001,NA
J,NA,"Sedikides, Constantine; Lenton, Alison P.; Slabu, Letitia; Thomaes, Sander",NA,NA,NA,NA,NA,NA,NA,Sketching the Contours of State Authenticity,NA,NA,NA,NA,NA,NA,NA,REVIEW OF GENERAL PSYCHOLOGY,NA,NA,NA,23,1,NA,NA,73,88,NA,10.1037/gpr0000156,NA,NA,19-Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000469342200006,NA
J,NA,"Shapiro, Lawrence A.",NA,NA,NA,NA,NA,NA,NA,Flesh matters: The body in cognition,NA,NA,NA,NA,NA,NA,NA,MIND & LANGUAGE,NA,NA,NA,34,1,NA,NA,3,20,NA,10.1111/mila.12203,NA,NA,19-Feb,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000458335300001,NA
J,NA,"Koerner, Anita; Strack, Fritz",NA,NA,NA,NA,NA,NA,NA,Conditions for the clean slate effect after success or failure,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,159,1,NA,NA,92,105,NA,10.1080/00224545.2018.1454881,NA,NA,JAN 2 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000455200000008,NA
J,a,"Wyer, Robert S., Jr.",NA,NA,NA,NA,NA,NA,NA,THEORY AND METHOD IN CONSUMER INFORMATION PROCESSING,NA,NA,NA,NA,NA,NA,NA,HANDBOOK OF RESEARCH METHODS IN CONSUMER PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,107,131,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000509553400007,NA
J,NA,"Fabrigar, Leandre R.; Wegener, Duane T.; Vaughan-Johnston, Thomas I.; Wallace, Laura E.; Petty, Richard E.",NA,NA,NA,NA,NA,NA,NA,DESIGNING AND INTERPRETING REPLICATION STUDIES IN PSYCHOLOGICAL RESEARCH,NA,NA,NA,NA,NA,NA,NA,HANDBOOK OF RESEARCH METHODS IN CONSUMER PSYCHOLOGY,NA,NA,NA,NA,NA,NA,NA,483,507,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000509553400027,NA
J,NA,"Nikopoulos, James","Nikopoulos, J",NA,NA,NA,NA,NA,NA,"Individuality, In Theory Nietzsche-Become Your Laughter",NA,NA,NA,NA,NA,NA,NA,Routledge Studies in Twentieth-Century Literature,NA,NA,NA,55,NA,NA,NA,138,160,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000487849400008,NA
J,NA,"Milkowski, Marcin",NA,NA,NA,NA,NA,NA,NA,EMBODIED COGNITION,NA,NA,NA,NA,NA,NA,NA,Routledge Handbooks in Philosophy,NA,NA,NA,NA,NA,NA,NA,323,338,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000463261700025,NA
J,NA,"Dayan, Steven H.; Bacos, Jonathan T.; Gandhi, Nimit D.; Ho, Thuy-Van T.; Kalbag, Arjun",NA,NA,NA,NA,NA,NA,NA,Assessment of the Impact of Perioral Rejuvenation With Hyaluronic Acid Filler on Projected First Impressions and Mood Perceptions,NA,NA,NA,NA,NA,NA,NA,DERMATOLOGIC SURGERY,NA,NA,NA,45,1,NA,NA,99,107,NA,10.1097/DSS.0000000000001613,NA,NA,19-Jan,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000462415200013,NA
J,NA,"Wentura, Dirk",NA,NA,NA,NA,NA,NA,NA,Cognition and emotion: on paradigms and metaphors,NA,NA,NA,NA,NA,NA,NA,COGNITION & EMOTION,NA,NA,NA,33,1,NA,NA,85,93,NA,10.1080/02699931.2019.1567464,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000461547700013,NA
J,NA,"Krosnick, Jon A.; Judd, Charles M.; Wittenbrink, Bernd",NA,NA,NA,NA,NA,NA,NA,THE MEASUREMENT OF ATTITUDES,NA,NA,NA,NA,NA,NA,NA,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",NA,NA,NA,NA,NA,NA,NA,45,105,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,Attitudes Conference,"MAY 17-19, 2017",NA,"Philadelphia, PA",1,NA,NA,NA,NA,NA,NA,WOS:000461333400002,NA
J,NA,"Clore, Gerald L.; Schnall, Simone",NA,NA,NA,NA,NA,NA,NA,THE INFLUENCE OF AFFECT ON ATTITUDE,NA,NA,NA,NA,NA,NA,NA,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",NA,NA,NA,NA,NA,NA,NA,259,290,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,Attitudes Conference,"MAY 17-19, 2017",NA,"Philadelphia, PA",0,NA,NA,NA,NA,NA,NA,WOS:000461333400006,NA
J,NA,"Wegener, Duane T.; Clark, Jason K.; Petty, Richard E.",NA,NA,NA,NA,NA,NA,NA,COGNITIVE AND METACOGNITIVE PROCESSES IN ATTITUDE FORMATION AND CHANGE,NA,NA,NA,NA,NA,NA,NA,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",NA,NA,NA,NA,NA,NA,NA,291,331,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,Attitudes Conference,"MAY 17-19, 2017",NA,"Philadelphia, PA",2,NA,NA,NA,NA,NA,NA,WOS:000461333400007,NA
J,b,"Wyer, Robert S., Jr.",NA,NA,NA,NA,NA,NA,NA,"SOME DETERMINANTS AND CONSEQUENCES OF BELIEFS Cognitive, Social, and Motivational",NA,NA,NA,NA,NA,NA,NA,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",NA,NA,NA,NA,NA,NA,NA,332,376,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,Attitudes Conference,"MAY 17-19, 2017",NA,"Philadelphia, PA",0,NA,NA,NA,NA,NA,NA,WOS:000461333400008,NA
J,NA,"Schwarz, Norbert; Lee, Spike W. S.",NA,NA,NA,NA,NA,NA,NA,EMBODIED COGNITION AND THE CONSTRUCTION OF ATTITUDES,NA,NA,NA,NA,NA,NA,NA,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",NA,NA,NA,NA,NA,NA,NA,450,479,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,Attitudes Conference,"MAY 17-19, 2017",NA,"Philadelphia, PA",1,NA,NA,NA,NA,NA,NA,WOS:000461333400011,NA
J,NA,"Lemonnier, Aurore; Alexopoulos, Theodore",NA,NA,NA,NA,NA,NA,NA,The modulation of the evaluative priming effect by phasic affect,NA,NA,NA,NA,NA,NA,NA,ACTA PSYCHOLOGICA,NA,NA,NA,192,NA,NA,NA,94,103,NA,10.1016/j.actpsy.2018.11.001,NA,NA,19-Jan,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000456759100010,NA
J,NA,"Malkowski, Marcin; Clowes, Robert; Rucinska, Zuzanna; Przegalinska, Aleksandra; Zawidzki, Tadeusz; Krueger, Joel; Gies, Adam; McGann, Marek; Afeltowicz, Lukasz; Wachowski, Witold; Stjernberg, Fredrik; Loughlin, Victor; Hohol, Mateusz",NA,NA,NA,NA,NA,NA,NA,From Wide Cognition to Mechanisms: A Silent Revolution,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,9,NA,NA,NA,NA,NA,2393,10.3389/fpsyg.2018.02393,NA,NA,DEC 6 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000452296600001,NA
J,NA,"Olsen, Carmen; Gold, Anna",NA,NA,NA,NA,NA,NA,NA,Future research directions at the intersection between cognitive neuroscience research and auditors' professional skepticism,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ACCOUNTING LITERATURE,NA,NA,NA,41,NA,NA,NA,127,141,NA,10.1016/j.acclit.2018.03.006,NA,NA,18-Dec,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000448608400008,NA
J,NA,"Smith, Ryan; Killgore, William D. S.; Alkozei, Anna; Lane, Richard D.",NA,NA,NA,NA,NA,NA,NA,A neuro-cognitive process model of emotional intelligence,NA,NA,NA,NA,NA,NA,NA,BIOLOGICAL PSYCHOLOGY,NA,NA,NA,139,NA,NA,NA,131,151,NA,10.1016/j.biopsycho.2018.10.012,NA,NA,18-Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,WOS:000451216000014,NA
J,NA,"Ringmar, Erik",NA,NA,NA,NA,NA,NA,NA,What are public moods?,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF SOCIAL THEORY,NA,NA,NA,21,4,NA,NA,453,469,NA,10.1177/1368431017736995,NA,NA,18-Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000446200100003,NA
J,NA,"Rosseland, Ragna; Pallesen, Stale; Nordhus, Inger Hilde; Matre, Dagfinn; Blagestad, Tone",NA,NA,NA,NA,NA,NA,NA,Effects of Sleep Fragmentation and Induced Mood on Pain Tolerance and Pain Sensitivity in Young Healthy Adults,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,9,NA,NA,NA,NA,NA,2089,10.3389/fpsyg.2018.02089,NA,NA,OCT 31 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000448900000001,NA
J,NA,"Lewis, Michael B.",NA,NA,NA,NA,NA,NA,NA,The interactions between botulinum-toxin-based facial treatments and embodied emotions,NA,NA,NA,NA,NA,NA,NA,SCIENTIFIC REPORTS,NA,NA,NA,8,NA,NA,NA,NA,NA,14720,10.1038/s41598-018-33119-1,NA,NA,OCT 3 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000446339400004,NA
J,NA,"Van Kerckhove, Anneleen; Pandelaere, Mario",NA,NA,NA,NA,NA,NA,NA,Why Are You Swiping Right? The Impact of Product Orientation on Swiping Responses,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF CONSUMER RESEARCH,NA,NA,NA,45,3,NA,NA,633,647,NA,10.1093/jcr/ucy013,NA,NA,18-Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000449045700009,NA
J,NA,"Sidhu, David M.; Pexman, Penny M.",NA,NA,NA,NA,NA,NA,NA,Five mechanisms of sound symbolic association,NA,NA,NA,NA,NA,NA,NA,PSYCHONOMIC BULLETIN & REVIEW,NA,NA,NA,25,5,NA,NA,1619,1643,NA,10.3758/s13423-017-1361-1,NA,NA,18-Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,WOS:000446540900004,NA
J,NA,"McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.",NA,NA,NA,NA,NA,NA,NA,A Call for Open Science in Giftedness Research,NA,NA,NA,NA,NA,NA,NA,GIFTED CHILD QUARTERLY,NA,NA,NA,62,4,NA,NA,374,388,NA,10.1177/0016986218784178,NA,NA,18-Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000444404500003,NA
J,NA,"Seligman, Rebecca",NA,NA,NA,NA,NA,NA,NA,"Mind, Body, Brain, and the Conditions of Meaning",NA,NA,NA,NA,NA,NA,NA,ETHOS,NA,NA,NA,46,3,NA,NA,397,417,NA,10.1111/etho.12207,NA,NA,18-Sep,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000443682400007,NA
J,NA,"de la Rosa, Stephan; Fademrecht, Laura; Buelthoff, Heinrich H.; Giese, Martin A.; Curio, Cristobal",NA,NA,NA,NA,NA,NA,NA,Two Ways to Facial Expression Recognition? Motor and Visual Information Have Different Effects on Facial Expression Recognition,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL SCIENCE,NA,NA,NA,29,8,NA,NA,1257,1269,NA,10.1177/0956797618765477,NA,NA,18-Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000441286400005,NA
J,NA,"Niedenthal, Paula M.; Rychlowska, Magdalena; Wood, Adrienne; Zhao, Fangyun",NA,NA,NA,NA,NA,NA,NA,"Heterogeneity of long-history migration predicts smiling, laughter and positive emotion across the globe and within the United States",NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,13,8,NA,NA,NA,NA,e0197651,10.1371/journal.pone.0197651,NA,NA,AUG 1 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,WOS:000440415500007,NA
J,NA,"Taxer, Jamie L.; Gross, James J.",NA,NA,NA,NA,NA,NA,NA,"Emotion regulation in teachers: The ""why"" and ""how""",NA,NA,NA,NA,NA,NA,NA,TEACHING AND TEACHER EDUCATION,NA,NA,NA,74,NA,NA,NA,180,189,NA,10.1016/j.tate.2018.05.008,NA,NA,18-Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,WOS:000436650300016,NA
