PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,"DeJesus, Jasmine M.; Hwang, Hyesung G.; Dautel, Jocelyn B.; Kinzler, Katherine D.",,,,,,,,"American=English Speaker Before ""American=White"": The Development of Children's Reasoning About Nationality",,,,,,,,CHILD DEVELOPMENT,,,,89,5,,,1752,1767,,10.1111/cdev.12845,,,SEP-OCT 2018,2018,,,,,,,,,,10,,,,,,,WOS:000443935700023,
J,"Chopik, William J.; Bremner, Ryan H.; Defever, Andrew M.; Keller, Victor N.",,,,,,,,How (and Whether) to Teach Undergraduates About the Replication Crisis in Psychological Science,,,,,,,,TEACHING OF PSYCHOLOGY,,,,45,2,,,158,163,,10.1177/0098628318762900,,,Apr-18,2018,,,,,,,,,,10,,,,,,,WOS:000429950000007,
J,"Pedrini, Pier Paolo","Pedrini, PP",,,,,,,Unity is strength,,,,,,,,Routledge Studies in Modern European History,,,,,,,,67,82,,,,,2018,2018,,,,,,,,,,0,,,,,,,WOS:000458911500010,
J,"Calfano, B.","Calfano, B",,,,,,,"Muslims, Identity, and American Politics",,,,,,,,"MUSLIMS, IDENTITY, AND AMERICAN POLITICS",,,,,,,,,,,,,,2018,2018,,,,,,,,,,7,,,,,,,WOS:000475484400009,
J,"Chan, Eugene Y.",,,,,,,,Exposure to the American flag polarizes democratic-republican ideologies,,,,,,,,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,,,,56,4,,,809,818,,10.1111/bjso.12197,,,Dec-17,2017,,,,,,,,,,4,,,,,,,WOS:000416841700011,
J,"Gueguen, Nicolas; Martin, Angelique; Stefan, Jordy",,,,,,,,Holding your flag: The effects of exposure to a regional symbol on people's behavior,,,,,,,,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,,47,5,,,539,552,,10.1002/ejsp.2239,,,Aug-17,2017,,,,,,,,,,1,,,,,,,WOS:000409241700002,
J,"Shanks, David R.",,,,,,,,"Misunderstanding the Behavior Priming Controversy: Comment on Payne, Brown-Iannuzzi, and Loersch (2016)",,,,,,,,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,146,8,,,1216,1222,,10.1037/xge0000307,,,Aug-17,2017,,,,,,,,,,1,,,,,,,WOS:000406614300012,
J,"Rains, Stephen A.; Kenski, Kate; Coe, Kevin; Harwood, Jake",,,,,,,,Incivility and Political Identity on the Internet: Intergroup Factors as Predictors of Incivility in Discussions of News Online,,,,,,,,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,,,,22,4,,,163,178,,10.1111/jcc4.12191,,,Jul-17,2017,,,,,,,,,,15,,,,,,,WOS:000406245700001,
J,"Wang, Lili; Zuo, Peng",,,,,,,,Flag backlash: Why does the presence of the American flag reduce product evaluation?,,,,,,,,PSYCHOLOGY & MARKETING,,,,34,7,,,693,707,,10.1002/mar.21016,,,Jul-17,2017,,,,,,,,,,0,,,,,,,WOS:000403209100003,
J,"Gobet, Fernand",,,,,,,,Allen Newell's Program of Research: The Video-Game Test,,,,,,,,TOPICS IN COGNITIVE SCIENCE,,,,9,2,,,522,532,,10.1111/tops.12265,,,Apr-17,2017,,,,,,,,,,1,,,,,,,WOS:000400362700015,
J,"Franek, Marek; Rezny, Lukas",,,,,,,,The Effect of Priming with Photographs of Environmental Settings on Walking Speed in an Outdoor Environment,,,,,,,,FRONTIERS IN PSYCHOLOGY,,,,8,,,,,,73,10.3389/fpsyg.2017.00073,,,JAN 26 2017,2017,,,,,,,,,,5,,,,,,,WOS:000392641200001,
J,"Young, Sally",,,,,,,,News Corporation Tabloids and Press Photography During the 2013 Australian Federal Election,,,,,,,,JOURNALISM STUDIES,,,,18,7,,,866,889,,10.1080/1461670X.2015.1088398,,,2017,2017,,,,,,,,,,1,,,,,,,WOS:000403008000004,
B,"Cumming, G; CalinJageman, R",,,,,,,,"Introduction to the New Statistics: Estimation, Open Science, and Beyond",,,,,,,,"INTRODUCTION TO THE NEW STATISTICS: ESTIMATION, OPEN SCIENCE, AND BEYOND",,,,,,,,1,560,,,,,2017,2017,,,,,,,,,,0,,,,,,,WOS:000414219100020,
J,"Schuler, Johannes; Ivanov, Igor; Waenke, Michaela",,,,,,,,Does Money Change Political Views? - An Investigation of Money Priming and the Preference for Right-Wing Politics,,,,,,,,JOURNAL OF SOCIAL AND POLITICAL PSYCHOLOGY,,,,5,2,,,396,414,,10.5964/jspp.v5i2.748,,,2017,2017,,,,,,,,,,0,,,,,,,WOS:000514922700005,
J,"Ottati, Victor; Wilson, Chase; Lambert, Alan",,,,,,,,"Accessibility, priming, and political judgment",,,,,,,,CURRENT OPINION IN PSYCHOLOGY,,,,12,,,,1,5,,10.1016/j.copsyc.2016.04.010,,,Dec-16,2016,,,,,,,,,,2,,,,,,,WOS:000390915800002,
J,"Romero, Felipe",,,,,,,,Can the behavioral sciences self-correct? A social epistemic study,,,,,,,,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,,,,60,,,,55,69,,10.1016/j.shpsa.2016.10.002,,,Dec-16,2016,,,,,,,,,,10,,,,,,,WOS:000390737000007,
J,"Kalmoe, Nathan P.; Gross, Kimberly",,,,,,,,"Cueing Patriotism, Prejudice, and Partisanship in the Age of Obama: Experimental Tests of US Flag Imagery Effects in Presidential Elections",,,,,,,,POLITICAL PSYCHOLOGY,,,,37,6,,,883,899,,10.1111/pops.12305,,,Dec-16,2016,,,,,,,,,,9,,,,,,,WOS:000387770400008,
J,"Stern, Chadly; West, Tessa V.",,,,,,,,Ideological Differences in Anchoring and Adjustment During Social Inferences,,,,,,,,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,,,,42,11,,,1466,1479,,10.1177/0146167216664058,,,Nov-16,2016,,,,,,,,,,10,,,,,,,WOS:000386850100002,
J,"Patrikios, Stratos; Cram, Laura",,,,,,,,Better the devil you know: Threat effects and attachment to the European Union,,,,,,,,COMPARATIVE EUROPEAN POLITICS,,,,14,6,,,717,734,,10.1057/cep.2014.54,,,Nov-16,2016,,,,,,,,,,1,,,,,,,WOS:000388095600001,
J,"Stroebe, Wolfgang",,,,,,,,Are most published social psychological findings false?,,,,,,,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,66,,,,134,144,,10.1016/j.jesp.2015.09.017,,,Sep-16,2016,,,,,,,,,,33,,,,,,,WOS:000381166900014,
J,"Chan, Eugene Y.",,,,,,,,Re-construing politics: The dual impacts of abstraction on political ideology,,,,,,,,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,,46,5,,,649,656,,10.1002/ejsp.2188,,,Aug-16,2016,,,,,,,,,,5,,,,,,,WOS:000388311800009,
J,"Moehler, Devra; Conroy-Krutz, Jeffrey",,,,,,,,Eyes on the ballot: Priming effects and ethnic voting in the developing world,,,,,,,,ELECTORAL STUDIES,,,,42,,,,99,113,,10.1016/j.electstud.2016.01.010,,,Jun-16,2016,,,,,,,,,,4,,,,,,,WOS:000376546100011,
J,"Lerman, Amy E.; Sadin, Meredith L.",,,,,,,,Stereotyping or Projection? How White and Black Voters Estimate Black Candidates' Ideology,,,,,,,,POLITICAL PSYCHOLOGY,,,,37,2,,,147,163,,10.1111/pops.12235,,,Apr-16,2016,,,,,,,,,,10,,,,,,,WOS:000372899200001,
J,"Kleiman, Tali; Stern, Chadly; Trope, Yaacov",,,,,,,,When the Spatial and Ideological Collide: Metaphorical Conflict Shapes Social Perception,,,,,,,,PSYCHOLOGICAL SCIENCE,,,,27,3,,,375,383,,10.1177/0956797615624029,,,Mar-16,2016,,,,,,,,,,4,,,,,,,WOS:000372522800008,
J,"Hvidman, Ulrik; Andersen, Simon Calmar",,,,,,,,Perceptions of Public and Private Performance: Evidence from a Survey Experiment,,,,,,,,PUBLIC ADMINISTRATION REVIEW,,,,76,1,,,111,120,,10.1111/puar.12441,,,JAN-FEB 2016,2016,,,,,,,,,,23,,,,,,,WOS:000367313700018,
J,"Gass, Robert H.; Seiter, John S.","Gass, RH; Seiter, JS",,,,,,,Motivational Appeals,,,,,,,,"PERSUASION: SOCIAL INFLUENCE AND COMPLIANCE GAINING, 5TH EDITION",,,,,,,,284,307,,,,,2016,2016,,,,,,,,,,0,,,,,,,WOS:000440536500014,
J,"Kuehberger, Anton; Scherndl, Thomas; Ludwig, Bastian; Simon, Dominique M.",,,,,,,,Comparative Evaluation of Narrative Reviews and Meta-Analyses A Case Study,,,,,,,,ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY,,,,224,3,,,145,156,,10.1027/2151-2604/a000250,,,2016,2016,,,,,,,,,,4,,,,,,,WOS:000391262500002,
J,"Fatke, Matthias",,,,,,,,Behavioural primes in the voting booth: Further evidence of priming effects in popular votes and elections,,,,,,,,ELECTORAL STUDIES,,,,40,,,,315,321,,10.1016/j.electstud.2015.10.008,,,Dec-15,2015,,,,,,,,,,1,,,,,,,WOS:000367276800030,
J,"Meyers, C. D.",,,,,,,,Automatic Behavior and Moral Agency: Defending the Concept of Personhood from Empirically Based Skepticism,,,,,,,,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,,,,30,2,,,193,209,,10.1007/s12136-014-0239-3,,,Jun-15,2015,,,,,,,,,,0,,,,,,,WOS:000354903100007,
J,"Hesselmann, Guido; Moors, Pieter",,,,,,,,Definitely maybe: can unconscious processes perform the same functions as conscious processes?,,,,,,,,FRONTIERS IN PSYCHOLOGY,,,,6,,,,,,584,10.3389/fpsyg.2015.00584,,,MAY 6 2015,2015,,,,,,,,,,29,,,,,,,WOS:000355339000003,
J,"Brandt, Mark J.; Evans, Anthony M.; Crawford, Jarret T.",,,,,,,,The Unthinking or Confident Extremist? Political Extremists Are More Likely Than Moderates to Reject Experimenter-Generated Anchors,,,,,,,,PSYCHOLOGICAL SCIENCE,,,,26,2,,,189,202,,10.1177/0956797614559730,,,Feb-15,2015,,,,,,,,,,37,,,,,,,WOS:000349622000008,
J,"Miller, Monica K.; Chamberlain, Jared",,,,,,,,There Ought to Be a Law!: Understanding Community Sentiment,,,,,,,,HANDBOOK OF COMMUNITY SENTIMENT,,,,,,,,3,28,,10.1007/978-1-4939-1899-7_1,,,2015,2015,,,,,,,,,,1,,,,,,,WOS:000417005200001,
J,"Chin, Jason M.",,,,,,,,Psychological Science's Replicability Crisis and What It Means for Science in the Courtroom,,,,,,,,PSYCHOLOGY PUBLIC POLICY AND LAW,,,,20,3,,,225,238,,10.1037/law0000012,,,Aug-14,2014,,,,,,,,,,9,,,,,,,WOS:000349172600001,
J,"Meyer, David E.",,,,,,,,Semantic priming well established,,,,,,,,SCIENCE,,,,345,6196,,,523,523,,10.1126/science.345.6196.523-b,,,AUG 1 2014,2014,,,,,,,,,,5,,,,,,,WOS:000339651300031,
J,"Ferguson, Melissa J.; Mann, Thomas C.",,,,,,,,"EFFECTS OF EVALUATION: AN EXAMPLE OF ROBUST ""SOCIAL"" PRIMING",,,,,,,,SOCIAL COGNITION,,,,32,,,,33,46,,10.1521/soco.2014.32.supp.33,,,Jun-14,2014,,,,,,,,,,11,,,,,,,WOS:000339389200003,
J,"Menon, Tanya; Smith, Edward Bishop",,,,,,,,Identities in flux: Cognitive network activation in times of change,,,,,,,,SOCIAL SCIENCE RESEARCH,,,,45,,,,117,130,,10.1016/j.ssresearch.2014.01.001,,,May-14,2014,,,,,,,,,,15,,,,,,,WOS:000333000300009,
J,"Erisen, Cengiz; Lodge, Milton; Taber, Charles S.",,,,,,,,Affective Contagion in Effortful Political Thinking,,,,,,,,POLITICAL PSYCHOLOGY,,,,35,2,,,187,206,,10.1111/j.1467-9221.2012.00937.x,,,Apr-14,2014,,,,,,,,,,36,,,,,,,WOS:000334410600003,
J,"Lucas, Todd; Barkho, Evone; Rudolph, Cort; Zhdanova, Ludmila; Fakhouri, Monty; Thompson, Lyke",,,,,,,,"Political affiliation, collective self-esteem and perceived employability of immigrants: Inducing national identity polarizes host-nation employers",,,,,,,,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,,,,39,,,,136,151,,10.1016/j.ijintrel.2013.11.001,,,Mar-14,2014,,,,,,,,,,5,,,,,,,WOS:000347673400012,
J,"Newell, Ben R.; Shanks, David R.",,,,,,,,Unconscious influences on decision making: A critical review,,,,,,,,BEHAVIORAL AND BRAIN SCIENCES,,,,37,1,,,1,+,,10.1017/S0140525X12003214,,,Feb-14,2014,,,,,,,,,,187,,,,,,,WOS:000332474000001,
J,"Ferguson, Melissa J.; Carter, Travis J.; Hassin, Ran R.",,,,,,,,Commentary on the Attempt to Replicate the Effect of the American Flag on Increased Republican Attitudes,,,,,,,,SOCIAL PSYCHOLOGY,,,,45,4,,,301,302,,,,,2014,2014,,,,,,,,,,6,,,,,,,WOS:000341226100006,
J,"Klein, Richard A.; Ratliff, Kate A.; Vianello, Michelangelo; Adams, Reginald B., Jr.; Bahnik, Stepan; Bernstein, Michael J.; Bocian, Konrad; Brandt, Mark J.; Brooks, Beach; Brumbaugh, Claudia Chloe; Cemalcilar, Zeynep; Chandler, Jesse; Cheong, Winnee; Davis, William E.; Devos, Thierry; Eisner, Matthew; Frankowska, Natalia; Furrow, David; Galliani, Elisa Maria; Hasselman, Fred; Hicks, Joshua A.; Hovermale, James F.; Hunt, S. Jane; Huntsinger, Jeffrey R.; IJzerman, Hans; John, Melissa-Sue; Joy-Gaba, Jennifer A.; Kappes, Heather Barry; Krueger, Lacy E.; Kurtz, Jaime; Levitan, Carmel A.; Mallett, Robyn K.; Morris, Wendy L.; Nelson, Anthony J.; Nier, Jason A.; Packard, Grant; Pilati, Ronaldo; Rutchick, Abraham M.; Schmidt, Kathleen; Skorinko, Jeanine L.; Smith, Robert; Steiner, Troy G.; Storbeck, Justin; Van Swol, Lyn M.; Thompson, Donna; van 't Veer, A. E.; Vaughn, Leigh Ann; Vranka, Marek; Wichman, Aaron L.; Woodzicka, Julie A.; Nosek, Brian A.",,,,,,,,"Investigating Variation in Replicability A ""Many Labs'' Replication Project",,,,,,,,SOCIAL PSYCHOLOGY,,,,45,3,,,142,152,,10.1027/1864-9335/a000178,,,2014,2014,,,,,,,,,,369,,,,,,,WOS:000336836900002,
J,"Monin, Benoit; Oppenheimer, Daniel M.",,,,,,,,Commentaries and Rejoinder on Klein et al. (2014) The Limits of Direct Replications and the Virtues of Stimulus Sampling,,,,,,,,SOCIAL PSYCHOLOGY,,,,45,4,,,299,300,,10.1027/1864-9335/a000202,,,2014,2014,,,,,,,,,,24,,,,,,,WOS:000341226100005,
J,"Harris, Christine R.; Coburn, Noriko; Rohrer, Doug; Pashler, Harold",,,,,,,,Two Failures to Replicate High-Performance-Goal Priming Effects,,,,,,,,PLOS ONE,,,,8,8,,,,,e72467,10.1371/journal.pone.0072467,,,AUG 16 2013,2013,,,,,,,,,,13,,,,,,,WOS:000323570200070,
J,"Zhu, Luke (Lei); Kay, Aaron C.; Eibach, Richard P.",,,,,,,,A test of the flexible ideology hypothesis: System justification motives interact with ideological cueing to predict political judgments,,,,,,,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,49,4,,,755,758,,10.1016/j.jesp.2013.03.007,,,Jul-13,2013,,,,,,,,,,10,,,,,,,WOS:000319852600020,
J,"Tusche, Anita; Kahnt, Thorsten; Wisniewski, David; Haynes, John-Dylan",,,,,,,,Automatic processing of political preferences in the human brain,,,,,,,,NEUROIMAGE,,,,72,,,,174,182,,10.1016/j.neuroimage.2013.01.020,,,MAY 15 2013,2013,,,,,,,,,,16,,,,,,,WOS:000317166800017,
J,"Baumard, Nicolas; Andre, Jean-Baptiste; Sperber, Dan",,,,,,,,A mutualistic approach to morality: The evolution of fairness by partner choice,,,,,,,,BEHAVIORAL AND BRAIN SCIENCES,,,,36,1,,,59,78,,10.1017/S0140525X11002202,,,Feb-13,2013,,,,,,,,,,205,,,,,,,WOS:000314690900002,
J,"Devos, Thierry; Ma, Debbie S.",,,,,,,,"How ""American"" is Barack Obama? The Role of National Identity in a Historic Bid for the White House",,,,,,,,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,,,,43,1,,,214,226,,10.1111/jasp.12069,,,Jan-13,2013,,,,,,,,,,21,,,,,,,WOS:000313914600020,
J,"Bilali, Rezarta; Vollhardt, Johanna Ray",,,,,,,,Priming effects of a reconciliation radio drama on historical perspective-taking in the aftermath of mass violence in Rwanda,,,,,,,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,,,49,1,,,144,151,,10.1016/j.jesp.2012.08.011,,,Jan-13,2013,,,,,,,,,,37,,,,,,,WOS:000311176400019,
J,"Pashler, Harold; Coburn, Noriko; Harris, Christine R.",,,,,,,,Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments,,,,,,,,PLOS ONE,,,,7,8,,,,,e42510,10.1371/journal.pone.0042510,,,AUG 29 2012,2012,,,,,,,,,,73,,,,,,,WOS:000308206000008,
