UT,PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,PM
WOS:000530727100014,J,"Jospe, Karine; Floeel, Agnes; Lavidor, Michal",NA,NA,NA,NA,NA,NA,NA,The interactive effect of empathy and motor cortex stimulation on hand gesture comprehension,NA,NA,NA,NA,NA,NA,NA,NEUROPSYCHOLOGIA,NA,NA,NA,141,NA,NA,NA,NA,NA,UNSP 107412,10.1016/j.neuropsychologia.2020.107412,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000519968400010,J,"Bogart, Kathleen R.",NA,NA,NA,NA,NA,NA,NA,Socioemotional Functioning With Facial Paralysis: Is There a Congenital or Acquired Advantage?,NA,NA,NA,NA,NA,NA,NA,HEALTH PSYCHOLOGY,NA,NA,NA,39,4,NA,NA,345,354,NA,10.1037/hea0000838,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000518802800003,J,"Ringmar, Erik",NA,NA,NA,NA,NA,NA,NA,How do performances fuse societies?,NA,NA,NA,NA,NA,NA,NA,AMERICAN JOURNAL OF CULTURAL SOCIOLOGY,NA,NA,NA,8,1,NA,NA,29,44,NA,10.1057/s41290-019-00076-9,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000517663900013,J,"Palagi, Elisabetta; Celeghin, Alessia; Tamietto, Marco; Winkielman, Piotr; Norscia, Ivan",NA,NA,NA,NA,NA,NA,NA,The neuroethology of spontaneous mimicry and emotional contagion in human and non-human animals,NA,NA,NA,NA,NA,NA,NA,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NA,NA,NA,111,NA,NA,NA,149,165,NA,10.1016/j.neubiorev.2020.01.020,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000513951700008,J,"Morling, Beth; Calin-Jageman, Robert J.",NA,NA,NA,NA,NA,NA,NA,What Psychology Teachers Should Know About Open Science and the New Statistics,NA,NA,NA,NA,NA,NA,NA,TEACHING OF PSYCHOLOGY,NA,NA,NA,47,2,NA,NA,169,179,NA,10.1177/0098628320901372,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000522600000002,J,"Barton, Tara; Constable, Merryn D.; Sparks, Samuel; Kritikos, Ada",NA,NA,NA,NA,NA,NA,NA,Self-bias effect: movement initiation to self-owned property is speeded for both approach and avoidance actions,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s00426-020-01325-0,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000522046300001,J,"Protzko, John; Schooler, Jonathan W.",NA,NA,NA,NA,NA,NA,NA,No relationship between researcher impact and replication effect: an analysis of five studies with 100 replications,NA,NA,NA,NA,NA,NA,NA,PEERJ,NA,NA,NA,8,NA,NA,NA,NA,NA,e8014,10.7717/peerj.8014,NA,NA,MAR 24 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000523936800001,J,"Corneille, Olivier; Huetter, Mandy",NA,NA,NA,NA,NA,NA,NA,Implicit? What Do You Mean? A Comprehensive Review of the Delusive Implicitness Construct in Attitude Research,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,NA,NA,NA,24,3,NA,NA,212,232,UNSP 1088868320911325,10.1177/1088868320911325,NA,NA,20-Aug,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000525581200001,J,"Rychlowska, Magdalena; Vanderwert, Ross",NA,NA,NA,NA,NA,NA,NA,The Pacified Face: Early Embodiment Processes and the Use of Dummies,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,11,NA,NA,NA,NA,NA,387,10.3389/fpsyg.2020.00387,NA,NA,MAR 13 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000528281400004,J,"van den Bergh, Don; Van Doorn, Johnny; Marsman, Maarten; Draws, Tim; Van Kesteren, Erik-Jan; Derks, Koen; Dablander, Fabian; Gronau, Quentin F.; Kucharsk, Simon; Gupta, Akash R. Komarlu Narendra; Sarafoglou, Alexandra; Voelkel, Jan G.; Stefan, Angelika; Ly, Alexander; Hinne, Max; Matzke, Dora; Wagenmakers, Eric-Jan",NA,NA,NA,NA,NA,NA,NA,A Tutorial on Conducting and Interpreting a Bayesian ANOVA in JASP,NA,NA,NA,NA,NA,NA,NA,ANNEE PSYCHOLOGIQUE,NA,NA,NA,120,1,NA,NA,73,96,NA,NA,NA,NA,20-Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000527989100002,J,"Lipson, Sarah M.; Stewart, Stephanie; Griffiths, Scott",NA,NA,NA,NA,NA,NA,NA,Athleisure: A qualitative investigation of a multi-billion-dollar clothing trend,NA,NA,NA,NA,NA,NA,NA,BODY IMAGE,NA,NA,NA,32,NA,NA,NA,5,13,NA,10.1016/j.bodyim.2019.10.009,NA,NA,20-Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000516906800001,J,"Chiang, Jack Ting-Ju; Chen, Xiao-Ping; Liu, Haiyang; Akutsu, Satoshi; Wang, Zheng",NA,NA,NA,NA,NA,NA,NA,"We have emotions but can't show them! Authoritarian leadership, emotion suppression climate, and team performance",NA,NA,NA,NA,NA,NA,NA,HUMAN RELATIONS,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87E+13,10.1177/0018726720908649,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000512608200001,J,"Jones, James W.",NA,NA,NA,NA,NA,NA,NA,How ritual might create religion: A neuropsychological exploration,NA,NA,NA,NA,NA,NA,NA,ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE,NA,NA,NA,42,1,NA,NA,29,45,8.47E+13,10.1177/0084672420903112,NA,NA,20-Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000511506700003,J,"Cervera Torres, Sergio; Ruiz Fernandez, Susana; Lachmair, Martin; Gerjets, Peter",NA,NA,NA,NA,NA,NA,NA,Coding valence in touchscreen interactions: hand dominance and lateral movement influence valence appraisals of emotional pictures,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,NA,NA,NA,84,1,NA,NA,23,31,NA,10.1007/s00426-018-0971-1,NA,NA,20-Feb,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000510614800006,J,"Cleeremans, Axel; Achoui, Dalila; Beauny, Arnaud; Keuninckx, Lars; Martin, Jean-Remy; Munoz-Moldes, Santiago; Vuillaume, Laurene; de Heering, Adelaide",NA,NA,NA,NA,NA,NA,NA,Learning to Be Conscious,NA,NA,NA,NA,NA,NA,NA,TRENDS IN COGNITIVE SCIENCES,NA,NA,NA,24,2,NA,NA,112,123,NA,10.1016/j.tics.2019.11.011,NA,NA,20-Feb,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000510538500001,J,"Phaf, R. Hans",NA,NA,NA,NA,NA,NA,NA,"Publish less, read more",NA,NA,NA,NA,NA,NA,NA,THEORY & PSYCHOLOGY,NA,NA,NA,30,2,NA,NA,263,285,UNSP 0959354319898250,10.1177/0959354319898250,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
WOS:000508209700001,J,"Richesin, Matthew T.; Oliver, Michael D.; Baldwin, Debora R.; Wicks, Lahai A. M.",NA,NA,NA,NA,NA,NA,NA,Game Face expressions and performance on competitive tasks,NA,NA,NA,NA,NA,NA,NA,STRESS AND HEALTH,NA,NA,NA,36,2,NA,NA,166,171,NA,10.1002/smi.2899,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000509923200001,J,"Vesker, Michael; Bahn, Daniela; Kauschke, Christina; Neumann, Mareike; Sweitzer, Cecilia; Schwarzer, Gudrun",NA,NA,NA,NA,NA,NA,NA,Investigating the Effects of Embodiment on Emotional Categorization of Faces and Words in Children and Adults,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2871,10.3389/fpsyg.2019.02871,NA,NA,JAN 15 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000509290900001,J,"Liang, Yu; Shimokawa, Kazuma; Yoshida, Shigeo; Sugimori, Eriko",NA,NA,NA,NA,NA,NA,NA,"What ""Tears"" Remind Us of: An Investigation of Embodied Cognition and Schizotypal Personality Trait Using Pencil and Teardrop Glasses",NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2826,10.3389/fpsyg.2019.02826,NA,NA,JAN 10 2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000541242200001,J,"Brinol, Pablo; Petty, Richard E.; Gandarillas, Beatriz; Moreno, Lorena",NA,NA,NA,NA,NA,NA,NA,Are Positive Interventions Always Beneficial?,NA,NA,NA,NA,NA,NA,NA,SPANISH JOURNAL OF PSYCHOLOGY,NA,NA,NA,23,NA,NA,NA,NA,NA,PII S1138741620000219,10.1017/SJP.2020.21,NA,NA,2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000540715100003,J,"Marmolejo-Ramos, Fernando; Murata, Aiko; Sasaki, Kyoshiro; Yamada, Yuki; Ikeda, Ayumi; Hinojosa, Jose A.; Watanabe, Katsumi; Parzuchowski, Michal; Tirado, Carlos; Ospina, Raydonal",NA,NA,NA,NA,NA,NA,NA,Your Face and Moves Seem Happier When I Smile Facial Action Influences the Perception of Emotional Faces and Biological Motion Stimuli,NA,NA,NA,NA,NA,NA,NA,EXPERIMENTAL PSYCHOLOGY,NA,NA,NA,67,1,NA,NA,14,22,NA,10.1027/1618-3169/a000470,NA,NA,20-Jan,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000506194400008,J,"Newman, Eryn; Jalbert, Madeline; Feigenson, Neal",NA,NA,NA,NA,NA,NA,NA,COGNITIVE FLUENCY IN THE COURTROOM,NA,NA,NA,NA,NA,NA,NA,Routledge International Handbooks,NA,NA,NA,NA,NA,NA,NA,102,115,NA,NA,NA,NA,2020,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000507725500002,J,"Kvarven, Amanda; Stromland, Eirik; Johannesson, Magnus",NA,NA,NA,NA,NA,NA,NA,Comparing meta-analyses and preregistered multiple-laboratory replication projects,NA,NA,NA,NA,NA,NA,NA,NATURE HUMAN BEHAVIOUR,NA,NA,NA,4,4,NA,NA,423,+,NA,10.1038/s41562-019-0787-z,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
WOS:000501891500001,J,"Fernandes, Alexandre C.; Garcia-Marques, Teresa",NA,NA,NA,NA,NA,NA,NA,The perception of time is dynamically interlocked with the facial muscle activity,NA,NA,NA,NA,NA,NA,NA,SCIENTIFIC REPORTS,NA,NA,NA,9,NA,NA,NA,NA,NA,18737,10.1038/s41598-019-55029-6,NA,NA,DEC 10 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000506723100022,J,"Schoeller, F.; Haar, A. J. H.; Jain, A.; Maes, P.",NA,NA,NA,NA,NA,NA,NA,Enhancing human emotions with interoceptive technologies,NA,NA,NA,NA,NA,NA,NA,PHYSICS OF LIFE REVIEWS,NA,NA,NA,31,NA,NA,NA,310,319,NA,10.1016/j.plrev.2019.10.008,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000500013700016,J,"Marsh, Abigail A.; Rhoads, Shawn A.; Ryan, Rebecca M.",NA,NA,NA,NA,NA,NA,NA,A Multi-Semester Classroom Demonstration Yields Evidence in Support of the Facial Feedback Effect,NA,NA,NA,NA,NA,NA,NA,EMOTION,NA,NA,NA,19,8,NA,NA,1500,1504,NA,10.1037/emo0000532,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
WOS:000496165000010,J,"Beharrell, William H.",NA,NA,NA,NA,NA,NA,NA,"TRANSFORMATION AND THE WAKING BODY: A RETURN TO TRUTH VIA OUR BODIES with Fraser Watts, ""Mutual Enhancement between Science and Religion: In the Footsteps of the Epiphany Philosophers""; William H. Beharrell, ""Transformation and the Waking Body: A Return to Truth via our Bodies""; Marius Dorobantu and Yorick Wilks, ""Moral Orthoses: A New Approach to Human and Machine Ethics""; Galen Watts, ""Religion, Science, and Disenchantment in Late Modernity""; and Rowan Williams, ""Epiphany Philosophers: Afterword.""",NA,NA,NA,NA,NA,NA,NA,ZYGON,NA,NA,NA,54,4,NA,NA,984,1003,NA,10.1111/zygo.12553,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000494437800010,J,"Virhia, Jasmine; Kotz, Sonja A.; Adank, Patti",NA,NA,NA,NA,NA,NA,NA,Emotional state dependence facilitates automatic imitation of visual speech,NA,NA,NA,NA,NA,NA,NA,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,NA,NA,NA,72,12,NA,NA,2833,2847,NA,10.1177/1747021819867856,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000535786900001,J,"Derya, Dilara; Kang, June; Kwon, Young; Wallraven, Christian",NA,NA,NA,NA,NA,NA,NA,"Facial Expression Processing Is Not Affected by Parkinson's Disease, but by Age-Related Factors",NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2458,10.3389/fpsyg.2019.02458,NA,NA,NOV 14 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000504782100007,J,"Heylighen, Ann; Dong, Andy",NA,NA,NA,NA,NA,NA,NA,To empathise or not to empathise? Empathy and its limits in design,NA,NA,NA,NA,NA,NA,NA,DESIGN STUDIES,NA,NA,NA,65,NA,NA,NA,107,124,NA,10.1016/j.destud.2019.10.007,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000494295100011,J,"Osborne-Crowley, Katherine; Wilson, Emily; De Blasio, Frances; Wearne, Travis; Rushby, Jacqueline; McDonald, Skye",NA,NA,NA,NA,NA,NA,NA,Subjective Emotional Experience and Physiological Responsivity to Posed Emotions in People With Traumatic Brain Injury,NA,NA,NA,NA,NA,NA,NA,NEUROPSYCHOLOGY,NA,NA,NA,33,8,NA,NA,1151,1162,NA,10.1037/neu0000580,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000489746800003,J,"Kuehne, Maria; Siwy, Isabelle; Zaehle, Tino; Heinze, Hans-Jochen; Lobmaier, Janek S.",NA,NA,NA,NA,NA,NA,NA,Out of Focus: Facial Feedback Manipulation Modulates Automatic Processing of Unattended Emotional Faces,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF COGNITIVE NEUROSCIENCE,NA,NA,NA,31,11,NA,NA,1631,1640,NA,10.1162/jocn_a_01445,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000497542400001,J,"Huggins, Charlotte F.; Cameron, Isobel M.; Williams, Justin H. G.",NA,NA,NA,NA,NA,NA,NA,Different Aspects of Emotional Awareness in Relation to Motor Cognition and Autism Traits,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2439,10.3389/fpsyg.2019.02439,NA,NA,OCT 30 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000492642700003,J,"Doulatova, Maria",NA,NA,NA,NA,NA,NA,NA,Tracking intentionalism and the phenomenology of mental effort,NA,NA,NA,NA,NA,NA,NA,SYNTHESE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s11229-019-02347-x,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000492578500002,J,"Iani, Francesco",NA,NA,NA,NA,NA,NA,NA,Embodied memories: Reviewing the role of the body in memory processes,NA,NA,NA,NA,NA,NA,NA,PSYCHONOMIC BULLETIN & REVIEW,NA,NA,NA,26,6,NA,NA,1747,1766,NA,10.3758/s13423-019-01674-x,NA,NA,19-Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000492120500001,J,"Parkinson, Brian",NA,NA,NA,NA,NA,NA,NA,Intragroup Emotion Convergence: Beyond Contagion and Social Appraisal,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,NA,NA,NA,24,2,NA,NA,121,140,UNSP 1088868319882596,10.1177/1088868319882596,NA,NA,20-May,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000497505100001,J,"Cross, Marie P.; Gheorma, Liana; Pressman, Sarah D.",NA,NA,NA,NA,NA,NA,NA,Contrasting Experimentally Device-Manipulated and Device-Free Smiles,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2297,10.3389/fpsyg.2019.02297,NA,NA,OCT 15 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000488839300007,J,"Rouder, Jeffrey N.; Haaf, Julia M.; Davis-Stober, Clintin P.; Hilgard, Joseph",NA,NA,NA,NA,NA,NA,NA,Beyond Overall Effects: A Bayesian Approach to Finding Constraints in Meta-Analysis,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL METHODS,NA,NA,NA,24,5,NA,NA,606,621,NA,10.1037/met0000216,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000487911000003,J,"Coles, Nicholas A.; Larsen, Jeff T.; Kuribayashi, Joyce; Kuelz, Ashley",NA,NA,NA,NA,NA,NA,NA,Does Blocking Facial Feedback Via Botulinum Toxin Injections Decrease Depression? A Critical Review and Meta-Analysis,NA,NA,NA,NA,NA,NA,NA,EMOTION REVIEW,NA,NA,NA,11,4,NA,NA,294,309,NA,10.1177/1754073919868762,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
WOS:000489512700001,J,"Kashima, Yoshihisa; Coman, Alin; Pauketat, Janet V. T.; Yzerbyt, Vincent",NA,NA,NA,NA,NA,NA,NA,Emotion in Cultural Dynamics,NA,NA,NA,NA,NA,NA,NA,EMOTION REVIEW,NA,NA,NA,12,2,NA,NA,48,64,UNSP 1754073919875215,10.1177/1754073919875215,NA,NA,20-Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000488434100001,J,"Pek, Jolynn; Van Zandt, Trisha",NA,NA,NA,NA,NA,NA,NA,Frequentist and Bayesian approaches to data analysis: Evaluation and estimation,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY LEARNING AND TEACHING-PLAT,NA,NA,NA,19,1,NA,NA,21,35,UNSP 1475725719874542,10.1177/1475725719874542,NA,NA,20-Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
WOS:000480517100014,J,"Bulnes, L. C.; Marien, P.; Vandekerckhove, M.; Cleeremans, A.",NA,NA,NA,NA,NA,NA,NA,The effects of Botulinum toxin on the detection of gradual changes in facial emotion,NA,NA,NA,NA,NA,NA,NA,SCIENTIFIC REPORTS,NA,NA,NA,9,NA,NA,NA,NA,NA,11734,10.1038/s41598-019-48275-1,NA,NA,AUG 13 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
WOS:000473589800001,J,"Melzer, Ayelet; Shafir, Tal; Tsachor, Rochelle Palnick",NA,NA,NA,NA,NA,NA,NA,How Do We Recognize Emotion From Movement? Specific Motor Components Contribute to the Recognition of Each Emotion,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,1389,10.3389/fpsyg.2019.01389,NA,NA,JUL 3 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
