PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM,case,pubYear
J,NA,"Gaertig, Celia; Barasch, Alixandra; Levine, Emma E.; Schweitzer, Maurice E.",NA,NA,NA,NA,NA,NA,NA,When does anger boost status?,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,85,NA,NA,NA,NA,NA,103876,10.1016/j.jesp.2019.103876,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000504512500028,NA,baumeister,2019
J,NA,"Rowland, Zarah; Wenzel, Mario; Kubiak, Thomas",NA,NA,NA,NA,NA,NA,NA,Effects of an Ultra-brief Computer-based Mindfulness Training on Mindfulness and Self-control: a Randomised Controlled Trial Using a 40-Day Ecological Momentary Assessment,NA,NA,NA,NA,NA,NA,NA,MINDFULNESS,NA,NA,NA,10,11,NA,NA,2312,2326,NA,10.1007/s12671-019-01204-9,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000503396800009,NA,baumeister,2019
J,NA,"Yang, Guan; Tan, Guang-xin; Li, Yue-xiang; Liu, Hai-ying; Wang, Song-tao",NA,NA,NA,NA,NA,NA,NA,Physical Exercise Decreases the Mobile Phone Dependence of University Students in China: The Mediating Role of Self-Control,NA,NA,NA,NA,NA,NA,NA,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,NA,NA,NA,16,21,NA,NA,NA,NA,4098,10.3390/ijerph16214098,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000498842000044,NA,baumeister,2019
J,NA,"Rempel, Emma; Hamovitch, Leah; Zannella, Lesley; Burke, Tara M.",NA,NA,NA,NA,NA,NA,NA,The power of technology: Examining the effects of digital visual evidence on jurors' processing of trial information,NA,NA,NA,NA,NA,NA,NA,APPLIED COGNITIVE PSYCHOLOGY,NA,NA,NA,33,6,NA,NA,1288,1295,NA,10.1002/acp.3598,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000497304400026,NA,baumeister,2019
J,NA,"Marr, Jennifer Carson; Pettit, Nathan; Thau, Stefan",NA,NA,NA,NA,NA,NA,NA,After the Fall: How Perceived Self-Control Protects the Legitimacy of Higher-Ranking Employees After Status Loss,NA,NA,NA,NA,NA,NA,NA,ORGANIZATION SCIENCE,NA,NA,NA,30,6,NA,NA,1165,1188,NA,10.1287/orsc.2019.1313,NA,NA,NOV-DEC 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000497669500003,NA,baumeister,2019
J,NA,"Petzel, Zachary W.; Noel, Jeffrey G.; Casad, Bettina J.",NA,NA,NA,NA,NA,NA,NA,I'm Tired and Feel Like Drinking: Viewing Alcohol Cues After Exerting Self-Control Increases Approach Motivation Among Individuals Lower in Alcohol Sensitivity,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY OF ADDICTIVE BEHAVIORS,NA,NA,NA,33,7,NA,NA,626,636,NA,10.1037/adb0000513,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000497306400005,NA,baumeister,2019
J,NA,"Sun, Xiaoling; Wu, Mingzheng; Chen, Qian",NA,NA,NA,NA,NA,NA,NA,Ego depletion and self-control: The moderating role of public service motivation,NA,NA,NA,NA,NA,NA,NA,SOCIAL BEHAVIOR AND PERSONALITY,NA,NA,NA,47,11,NA,NA,NA,NA,e8189,10.2224/sbp.8189,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000496728500003,NA,baumeister,2019
J,NA,"Domke, Antonia; Keller, Jan; Fleig, Lena; Knoll, Nina; Schwarzer, Ralf",NA,NA,NA,NA,NA,NA,NA,What makes a good action plan? Characteristics and enactment of fruit and vegetable plans,NA,NA,NA,NA,NA,NA,NA,APPETITE,NA,NA,NA,142,NA,NA,NA,NA,NA,UNSP 104351,10.1016/j.appet.2019.104351,NA,NA,NOV 1 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000494969000009,NA,baumeister,2019
J,NA,"De Muynck, Gert-Jan; Soenens, Bart; Waterschoot, Joachim; Degraeuwe, Lotte; Vande Broek, Gert; Vansteenkiste, Maarten",NA,NA,NA,NA,NA,NA,NA,Towards a more refined insight in the critical motivating features of choice: An experimental study among recreational rope skippers,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY OF SPORT AND EXERCISE,NA,NA,NA,45,NA,NA,NA,NA,NA,101561,10.1016/j.psychsport.2019.101561,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000491218300032,NA,baumeister,2019
J,NA,"Doellman, Thomas W.; Itzkowitz, Jennifer; Itzkowitz, Jesse; Sardarli, Sabuhi H.",NA,NA,NA,NA,NA,NA,NA,Alphabeticity Bias in 401(k) Investing,NA,NA,NA,NA,NA,NA,NA,FINANCIAL REVIEW,NA,NA,NA,54,4,NA,NA,643,677,NA,10.1111/fire.12188,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000489087500001,NA,baumeister,2019
J,NA,"D'Arcy, John; Teh, Pei-Lee",NA,NA,NA,NA,NA,NA,NA,"Predicting employee information security policy compliance on a daily basis: The interplay of security-related stress, emotions, and neutralization",NA,NA,NA,NA,NA,NA,NA,INFORMATION & MANAGEMENT,NA,NA,NA,56,7,NA,NA,NA,NA,UNSP 103151,10.1016/j.im.2019.02.006,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000488312900006,NA,baumeister,2019
J,NA,"Hamama, Liat; Hamama-Raz, Yaira",NA,NA,NA,NA,NA,NA,NA,"Meaning in Life, Self-Control, Positive and Negative Affect: Exploring Gender Differences Among Adolescents",NA,NA,NA,NA,NA,NA,NA,YOUTH & SOCIETY,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNSP 0044118X19883736,10.1177/0044118X19883736,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000492514800001,NA,baumeister,2019
J,NA,"Haeusser, Jan A.; Stahlecker, Christina; Mojzisch, Andreas; Leder, Johannes; Van Lange, Paul A. M.; Faber, Nadira S.",NA,NA,NA,NA,NA,NA,NA,Acute hunger does not always undermine prosociality,NA,NA,NA,NA,NA,NA,NA,NATURE COMMUNICATIONS,NA,NA,NA,10,NA,NA,NA,NA,NA,4733,10.1038/s41467-019-12579-7,NA,NA,OCT 18 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000490981900002,NA,baumeister,2019
J,NA,"Silver, Eric; Silver, Jasmine R.",NA,NA,NA,NA,NA,NA,NA,Morality and Self-Control: The Role of Binding and Individualizing Moral Motives,NA,NA,NA,NA,NA,NA,NA,DEVIANT BEHAVIOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1080/01639625.2019.1678580,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000490430300001,NA,baumeister,2019
J,NA,"Dreves, Parker A.; Blackhart, Ginette C.",NA,NA,NA,NA,NA,NA,NA,Thinking into the future: how a future time perspective improves self-control,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND INDIVIDUAL DIFFERENCES,NA,NA,NA,149,NA,NA,NA,141,151,NA,10.1016/j.paid.2019.05.049,NA,NA,OCT 15 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000475996600020,NA,baumeister,2019
J,NA,"Blain, Bastien; Schmit, Cyril; Aubry, Anael; Hausswirth, Christophe; Le Meur, Yann; Pessiglione, Mathias",NA,NA,NA,NA,NA,NA,NA,Neuro-computational Impact of Physical Training Overload on Economic Decision-Making,NA,NA,NA,NA,NA,NA,NA,CURRENT BIOLOGY,NA,NA,NA,29,19,NA,NA,3289,+,NA,10.1016/j.cub.2019.08.054,NA,NA,OCT 7 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000489095500041,NA,baumeister,2019
J,NA,"Schueler, Julia; Hofstetter, Jonas; Wolff, Wanja",NA,NA,NA,NA,NA,NA,NA,The Interplay of Achievement Motive-Goal Incongruence and State and Trait Self-Control: A Pilot Study Considering Cortical Correlates of Self-Control,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,NA,NA,NA,13,NA,NA,NA,NA,NA,235,10.3389/fnbeh.2019.00235,NA,NA,OCT 4 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000497320300001,NA,baumeister,2019
J,NA,"Tian, Lin; Wu, Yan",NA,NA,NA,NA,NA,NA,NA,"Classroom choice-making for Chinese master's students: choice, motivation and learning contexts",NA,NA,NA,NA,NA,NA,NA,TEACHING IN HIGHER EDUCATION,NA,NA,NA,24,7,NA,NA,850,879,NA,10.1080/13562517.2018.1515194,NA,NA,OCT 3 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000486255600003,NA,baumeister,2019
J,NA,"Ciampa, Valeria; Steffens, Niklas K.; Schuh, Sebastian C.; Fraccaroli, Franco; van Dick, Rolf",NA,NA,NA,NA,NA,NA,NA,Identity and stress: an application of the expanded model of organisational identification in predicting strain at work,NA,NA,NA,NA,NA,NA,NA,WORK AND STRESS,NA,NA,NA,33,4,NA,NA,351,365,NA,10.1080/02678373.2018.1521884,NA,NA,OCT 2 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000486090100003,NA,baumeister,2019
J,NA,"van Sintemaartensdijk, Iris; Righetti, Francesca",NA,NA,NA,NA,NA,NA,NA,Who does most of the work? High self-control individuals compensate for low self-control partners,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF THEORETICAL SOCIAL PSYCHOLOGY,NA,NA,NA,3,4,NA,NA,209,215,NA,10.1002/jts5.47,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000530291500002,NA,baumeister,2019
J,NA,"Cardini, Brian B.; Freund, Alexandra M.",NA,NA,NA,NA,NA,NA,NA,When the Fun Is Over Toward a Motivational Account of Exhaustion and Recovery,NA,NA,NA,NA,NA,NA,NA,EUROPEAN PSYCHOLOGIST,NA,NA,NA,24,4,NA,NA,322,336,NA,10.1027/1016-9040/a000361,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000496770400003,NA,baumeister,2019
J,NA,"Alsakarneh, Asaad Ahmad Abdelqader; Hong, Shen Chao; Eneizan, Bilal Mohammad; AL-Kharabsheh, Kamel A.",NA,NA,NA,NA,NA,NA,NA,Exploring the relationship between the emotional labor and performance in the Jordanian insurance industry,NA,NA,NA,NA,NA,NA,NA,CURRENT PSYCHOLOGY,NA,NA,NA,38,5,NA,NA,1140,1151,NA,10.1007/s12144-018-9935-2,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000494948800007,NA,baumeister,2019
J,NA,"Steinbach, Adam; Gamache, Daniel L.; Johnson, Russell E.",NA,NA,NA,NA,NA,NA,NA,DON'T GET IT MISCONSTRUED: EXECUTIVE CONSTRUAL-LEVEL SHIFTS AND FLEXIBILITY IN THE UPPER ECHELONS,NA,NA,NA,NA,NA,NA,NA,ACADEMY OF MANAGEMENT REVIEW,NA,NA,NA,44,4,NA,NA,870,894,NA,10.5465/amr.2017.0273,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,WOS:000491900100009,NA,baumeister,2019
J,NA,"Li, Junchao (Jason); Barnes, Christopher M.; Yam, Kai Chi; Guarana, Cristiano L.; Wang, Lin",NA,NA,NA,NA,NA,NA,NA,Do not like it when you need it the most: Examining the effect of manager ego depletion on managerial voice endorsement,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ORGANIZATIONAL BEHAVIOR,NA,NA,NA,40,8,NA,NA,869,882,NA,10.1002/job.2370,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000491283800001,NA,baumeister,2019
J,NA,"Mueller, Teresa; Niessen, Cornelia",NA,NA,NA,NA,NA,NA,NA,Self-leadership in the context of part-time teleworking,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF ORGANIZATIONAL BEHAVIOR,NA,NA,NA,40,8,NA,NA,883,898,NA,10.1002/job.2371,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000491283800002,NA,baumeister,2019
J,NA,"Low, Rachel S. T.; Overall, Nickola C.; Cross, Emily J.; Henderson, Annette M. E.",NA,NA,NA,NA,NA,NA,NA,"Emotion Regulation, Conflict Resolution, and Spillover on Subsequent Family Functioning",NA,NA,NA,NA,NA,NA,NA,EMOTION,NA,NA,NA,19,7,NA,NA,1162,1182,NA,10.1037/emo0000519,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000490520700004,NA,baumeister,2019
J,NA,"Newman, John M.",NA,NA,NA,NA,NA,NA,NA,Antitrust in Digital Markets,NA,NA,NA,NA,NA,NA,NA,VANDERBILT LAW REVIEW,NA,NA,NA,72,5,NA,NA,1497,1561,NA,NA,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000489739300002,NA,baumeister,2019
J,NA,"Pickett, Jennifer; Hofmans, Joeri; De Fruyt, Filip",NA,NA,NA,NA,NA,NA,NA,Extraversion and performance approach goal orientation: An integrative approach to personality,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF RESEARCH IN PERSONALITY,NA,NA,NA,82,NA,NA,NA,NA,NA,UNSP 103846,10.1016/j.jrp.2019.103846,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000489195700012,NA,baumeister,2019
J,NA,"Martin, Kristy; Thompson, Kevin G.; Keegan, Richard; Rattray, Ben",NA,NA,NA,NA,NA,NA,NA,Are Individuals Who Engage in More Frequent Self-Regulation Less Susceptible to Mental Fatigue?,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,NA,NA,NA,41,5,NA,NA,289,297,NA,10.1123/jsep.2018-0222,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000489261600003,NA,baumeister,2019
J,NA,"Ohu, Eugene Agboifo; Spitzmueller, Christiane; Zhang, Jing; Thomas, Candice L.; Osezua, Anne; Yu, Jia",NA,NA,NA,NA,NA,NA,NA,When Work-Family Conflict Hits Home: Parental Work-Family Conflict and Child Health,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,NA,NA,NA,24,5,NA,NA,590,601,NA,10.1037/ocp0000145,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000488054400007,NA,baumeister,2019
J,NA,"De Dreu, Carsten K. W.; Giacomantonio, Mauro; Giffin, Michael R.; Vecchiato, Giovanni",NA,NA,NA,NA,NA,NA,NA,Psychological Constraints on Aggressive Predation in Economi Contests,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,NA,NA,NA,148,10,NA,NA,1767,1781,NA,10.1037/xge0000531,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000486658900007,NA,baumeister,2019
J,NA,"Shin, Myoungjin; Kim, Yoora; Park, Seungha",NA,NA,NA,NA,NA,NA,NA,Effects of State Anxiety and Ego Depletion on Performance Change in Golf Putting: A Hierarchical Linear Model Application,NA,NA,NA,NA,NA,NA,NA,PERCEPTUAL AND MOTOR SKILLS,NA,NA,NA,126,5,NA,NA,904,921,NA,10.1177/0031512519856970,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000484516800011,NA,baumeister,2019
J,NA,"Prinsen, Sosja; Dohle, Simone; Evers, Catharine; de Ridder, Denise T. D.; Hofmann, Wilhelm",NA,NA,NA,NA,NA,NA,NA,Introducing functional and dysfunctional self-licensing: Associations with indices of (un)successful dietary regulation,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF PERSONALITY,NA,NA,NA,87,5,NA,NA,934,947,NA,10.1111/jopy.12445,NA,NA,19-Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000483819600002,NA,baumeister,2019
J,NA,"Paleari, F. Giorgia; Brambilla, Maria; Fincham, Frank D.",NA,NA,NA,NA,NA,NA,NA,When prejudice against you hurts others and me: The case of ageism at work,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,NA,NA,NA,49,11,NA,NA,704,720,NA,10.1111/jasp.12628,NA,NA,19-Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000485477600001,NA,baumeister,2019
J,NA,"Guzman, Francisco; Paswan, Audhesh; Tripathy, Niranjan",NA,NA,NA,NA,NA,NA,NA,Consumer centric antecedents to personal financial planning,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF CONSUMER MARKETING,NA,NA,NA,36,6,NA,NA,858,868,NA,10.1108/JCM-01-2018-2514,NA,NA,SEP 9 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000486001900015,NA,baumeister,2019
J,NA,"le Roux, Daniel B.; Parry, Douglas A.",NA,NA,NA,NA,NA,NA,NA,Off-task media use in academic settings: cycles of self-regulation failure,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF AMERICAN COLLEGE HEALTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1080/07448481.2019.1656636,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000485596100001,NA,baumeister,2019
J,NA,"Yang, Jonghyun; Park, Kiwon; Shin, Myoungjin",NA,NA,NA,NA,NA,NA,NA,Effects of Ego-Depletion and State Anxiety on Performance Changes in Dart-Throwing Tasks: A Latent Curve Model Approach Reporting Trial Data for Human Participants,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,10,NA,NA,NA,NA,NA,2027,10.3389/fpsyg.2019.02027,NA,NA,SEP 4 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000483795200002,NA,baumeister,2019
J,NA,"Baumeister, Roy F.; Wright, Bradley R. E.; Carreon, David",NA,NA,NA,NA,NA,NA,NA,"Self-control ""in the wild"": Experience sampling study of trait and state self-regulation",NA,NA,NA,NA,NA,NA,NA,SELF AND IDENTITY,NA,NA,NA,18,5,NA,NA,494,528,NA,10.1080/15298868.2018.1478324,NA,NA,SEP 3 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,WOS:000475403800002,NA,baumeister,2019
J,NA,"Wettstein, Markus; Wahl, Hans-Werner; Heyl, Vera",NA,NA,NA,NA,NA,NA,NA,Assimilative and accommodative coping in older adults with and without sensory impairment: four-year change and prospective relations with affective well-being,NA,NA,NA,NA,NA,NA,NA,AGING & MENTAL HEALTH,NA,NA,NA,23,9,NA,NA,1255,1262,NA,10.1080/13607863.2018.1479833,NA,NA,SEP 2 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000476678800020,NA,baumeister,2019
J,NA,"Dang, Junhua; Hagger, Martin S.",NA,NA,NA,NA,NA,NA,NA,Time to Set a New Research Agenda for Ego Depletion and Self-Control,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,50,6-May,NA,NA,277,281,NA,10.1027/1864-9335/a000399,NA,NA,19-Sep,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000495020100001,NA,baumeister,2019
J,NA,"Vadillo, Miguel A.",NA,NA,NA,NA,NA,NA,NA,Ego Depletion May Disappear by 2020,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,50,6-May,NA,NA,282,291,NA,10.1027/1864-9335/a000375,NA,NA,19-Sep,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000495020100002,NA,baumeister,2019
