PT,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,C1,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,WC,UT,PM,case,pubYear
J,"Batenburg, Anika; Meijers, Marijn; van Oosten, Annemarie",NA,NA,NA,NA,NA,NA,NA,UNTITLED,NA,NA,NA,NA,NA,NA,NA,TIJDSCHRIFT VOOR COMMUNICATIEWETENSCHAP,NA,NA,NA,45,2,NA,NA,78,81,NA,NA,NA,NA,2017,2017,NA,NA,"[Batenburg, Anika] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands; [Batenburg, Anika] Radboud Univ Nijmegen, Afdeling Commun & Informatiewetenschappen, Nijmegen, Netherlands; [Meijers, Marijn] Amsterdam Sch Commun Res ASCoR, Amsterdam, Netherlands; [Meijers, Marijn; van Oosten, Annemarie] Univ Amsterdam, Commun Wetenschap, Amsterdam, Netherlands; [van Oosten, Annemarie] Amsterdam Sch Commun Res ASCoR, Onderzoeksctr Jeugd & Media CcaM, Amsterdam, Netherlands; [Batenburg, Anika] Erasmuspl 1, NL-6525 HT Nijmegen, Netherlands",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Communication,WOS:000404830200001,NA,klein,2017
J,"Maass, Ulrike; Ziegler, Matthias",NA,NA,NA,NA,NA,NA,NA,Narcissistic self-promotion is not moderated by the strength of situational cues,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND INDIVIDUAL DIFFERENCES,NA,NA,NA,104,NA,NA,NA,482,488,NA,10.1016/j.paid.2016.09.008,NA,NA,Jan-17,2017,"The present study examined whether situational differences moderate the influence of narcissism on self promotion. As the strong situation hypothesis would assume, personality influences would be lowest in strong situations that include clear cues for self-promotion. Therefore, 219 participants received different situational cues (no prime, subliminal prime, or explicit request to self-present) prior to the task to self-describe. We rated the self-descriptions to the degree of a favorable and narcissistic impression (in an agentic or communal way). Results showed that all participants promoted themselves more favorably and narcissistically in situations with an explicit request only. The impact of narcissism on self-promotion was invariant across conditions. It was concluded that narcissism leads to enhanced self-promotion irrespective of situational strength. Implications for the way we study the strong situation hypothesis are discussed. (C) 2016 Elsevier Ltd. All rights reserved.",NA,"[Maass, Ulrike; Ziegler, Matthias] Humboldt Univ, Berlin, Germany; [Maass, Ulrike] Unter Linden 6, D-10099 Berlin, Germany",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"Psychology, Social",WOS:000386402400079,NA,klein,2017
J,"van Eersel, Gerdien G.; Verkoeijen, Peter P. J. L.; Povilenaite, Migle; Rikers, Remy",NA,NA,NA,NA,NA,NA,NA,The Testing Effect and Far Transfer: The Role of Exposure to Key Information,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,7,NA,NA,NA,NA,NA,1977,10.3389/fpsyg.2016.01977,NA,NA,DEC 26 2016,2016,"Butler (2010: Experiment 3) showed that retrieval practice enhanced transfer to a new knowledge domain compared to rereading. The first experiment of the present study was a direct replication of Butler's third experiment. Participants studied text passages and then either reread them three times or went through three cycles of cued recall questions (i.e., retrieval practice) with feedback. As in (lutler's (2010) experiment, an advantage of retrieval practice on the final far transfer test emerged after 1 week. Additionally, we observed an advantage of retrieval practice on the final test administered after 5 min. However, these advantages might have been due to participants in the retrieval practice condition receiving focused exposure to the key information (i.e., the feedback) that was needed to answer the final test questions. We therefore conducted a second experiment in which we included the retrieval practice condition and the reread condition from our first experiment, as well as a new reread-plus-statements condition. In the reread-plus-statements condition, participants received focused exposure to the key information after they had reread a text. As in Experiment 1, we found a large effect on far transfer when retrieval practice was compared to rereading. However, this effect was substantially reduced when retrieval practice was compared to the reread-plus-statements condition. Taken together, the results of the present experiments demonstrate that Butler's (2010) testing effect in far transfer is robust. Moreover, focused exposure to key information appears to be a significant factor in this far transfer testing effect.",NA,"[van Eersel, Gerdien G.; Verkoeijen, Peter P. J. L.; Povilenaite, Migle; Rikers, Remy] Erasmus Univ, Fac Social Sci, Dept Psychol Educ & Child Studies, Rotterdam, Netherlands; [Verkoeijen, Peter P. J. L.] Avans Univ Appl Sci, Learning & Innovat Ctr, Breda, Netherlands; [Rikers, Remy] Univ Utrecht, Univ Coll Roosevelt, Roosevelt Ctr Excellence Educ, Middelburg, Netherlands; [van Eersel, Gerdien G.] Erasmus Univ, Fac Social Sci, Dept Psychol Educ & Child Studies, Rotterdam, Netherlands",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",WOS:000390426600001,NA,klein,2016
J,"Hanel, Paul H. P.; Vione, Katia C.",NA,NA,NA,NA,NA,NA,NA,Do Student Samples Provide an Accurate Estimate of the General Public?,NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,11,12,NA,NA,NA,NA,e0168354,10.1371/journal.pone.0168354,NA,NA,DEC 21 2016,2016,"Most psychological studies rely on student samples. Students are usually considered as more homogenous than representative samples both within and across countries. However, little is known about the nature of the differences between student and representative samples. This is an important gap, also because knowledge about the degree of difference between student and representative samples may allow to infer from the former to the latter group. Across 59 countries and 12 personality (Big-5) and attitudinal variables we found that differences between students and general public were partly substantial, incoherent, and contradicted previous findings. Two often used cultural variables, embeddedness and intellectual autonomy, failed to explain the differences between both groups across countries. We further found that students vary as much as the general population both between and within countries. In summary, our results indicate that generalizing from students to the general public can be problematic when personal and attitudinal variables are used, as students vary mostly randomly from the general public. Findings are also discussed in terms of the replication crisis within psychology.",NA,"[Hanel, Paul H. P.; Vione, Katia C.] Cardiff Univ, Sch Psychol, Cardiff, S Glam, Wales; [Hanel, Paul H. P.] Cardiff Univ, Sch Psychol, Cardiff, S Glam, Wales",NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,Multidisciplinary Sciences,WOS:000392853100041,NA,klein,2016
J,"van Steenbergen, Henk; Bocanegra, Bruno R.",NA,NA,NA,NA,NA,NA,NA,Promises and pitfalls of Web-based experimentation in the advance of replicable psychological science: A reply to Plant (2015),NA,NA,NA,NA,NA,NA,NA,BEHAVIOR RESEARCH METHODS,NA,NA,NA,48,4,NA,NA,1713,1717,NA,10.3758/s13428-015-0677-x,NA,NA,Dec-16,2016,"In a recent letter, Plant (2015) reminded us that proper calibration of our laboratory experiments is important for the progress of psychological science. Therefore, carefully controlled laboratory studies are argued to be preferred over Web-based experimentation, in which timing is usually more imprecise. Here we argue that there are many situations in which the timing ofWeb-based experimentation is acceptable and that online experimentation provides a very useful and promising complementary toolbox to available lab-based approaches. We discuss examples in which stimulus calibration or calibration against response criteria is necessary and situations in which this is not critical. We also discuss how online labor markets, such as Amazon's Mechanical Turk, allow researchers to acquire data in more diverse populations and to test theories along more psychological dimensions. Recent methodological advances that have produced more accurate browser-based stimulus presentation are also discussed. In our view, online experimentation is one of the most promising avenues to advance replicable psychological science in the near future.",NA,"[van Steenbergen, Henk; Bocanegra, Bruno R.] Leiden Univ, Inst Psychol, Leiden, Netherlands; [van Steenbergen, Henk] Wassenaarseweg 52, NL-2333 AK Leiden, Netherlands; [van Steenbergen, Henk; Bocanegra, Bruno R.] Leiden Univ, Leiden Inst Brain & Cognit, Leiden, Netherlands; [van Steenbergen, Henk] Leiden Univ, Inst Psychol, Leiden, Netherlands; [van Steenbergen, Henk] Wassenaarseweg 52, NL-2333 AK Leiden, Netherlands; [van Steenbergen, Henk] Leiden Univ, Leiden Inst Brain & Cognit, Leiden, Netherlands",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"Psychology, Mathematical; Psychology, Experimental",WOS:000392719000039,NA,klein,2016
J,"Ottati, Victor; Wilson, Chase; Lambert, Alan",NA,NA,NA,NA,NA,NA,NA,"Accessibility, priming, and political judgment",NA,NA,NA,NA,NA,NA,NA,CURRENT OPINION IN PSYCHOLOGY,NA,NA,NA,12,NA,NA,NA,1,5,NA,10.1016/j.copsyc.2016.04.010,NA,NA,Dec-16,2016,"Classic and contemporary approaches to understanding political judgment implicitly acknowledged the role of chronic accessibility. Contemporary models also emphasize that situationally primed knowledge structures influence citizens' political attitudes and opinions. Priming effects are evident when specific concepts are primed (e.g., an issue, the American Flag, terrorism), and when media frames activate narratives that prime specific aspects of a political event. Metaphoric media frames (e.g., the presidential campaign is a horserace) can prime or highlight specific aspects of a political event (e.g., candidate electability) and thereby influence the public's attitudes and opinion (e.g., attitudes toward a political candidate). The immediate context in which political judgments are reported also produces priming effects on political judgment.",NA,"[Ottati, Victor; Wilson, Chase] Loyola Univ Chicago, Dept Psychol, 1032 W Sheridan Rd, Chicago, IL 60626 USA; [Lambert, Alan] Washington Univ, Psychol & Brain Sci, One Brookings Dr, St Louis, MO 63130 USA; [Ottati, Victor] Loyola Univ Chicago, Dept Psychol, 1032 W Sheridan Rd, Chicago, IL 60626 USA",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",WOS:000390915800002,NA,klein,2016
J,"Strack, Fritz; Bahnik, Stepan; Mussweiler, Thomas",NA,NA,NA,NA,NA,NA,NA,Anchoring: accessibility as a cause of judgmental assimilation,NA,NA,NA,NA,NA,NA,NA,CURRENT OPINION IN PSYCHOLOGY,NA,NA,NA,12,NA,NA,NA,67,70,NA,10.1016/j.copsyc.2016.06.005,NA,NA,Dec-16,2016,"Anchoring denotes assimilation of judgment toward a previously considered value - an anchor. The selective accessibility model argues that anchoring is a result of selective accessibility of information compatible with an anchor. The present review shows the similarities between anchoring and knowledge accessibility effects. Both effects depend on the applicability of the accessible information, which is also used similarly. Furthermore, both knowledge accessibility and anchoring influence the time needed for the judgment and both display temporal robustness. Finally, we offer recent evidence for the selective accessibility model and demonstrate how the model can be applied to reducing the anchoring effect.",NA,"[Strack, Fritz; Bahnik, Stepan] Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany; [Mussweiler, Thomas] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss Str 2, D-50931 Cologne, Germany; [Strack, Fritz] Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",WOS:000390915800015,NA,klein,2016
J,"Romero, Felipe",NA,NA,NA,NA,NA,NA,NA,Can the behavioral sciences self-correct? A social epistemic study,NA,NA,NA,NA,NA,NA,NA,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,NA,NA,NA,60,NA,NA,NA,55,69,NA,10.1016/j.shpsa.2016.10.002,NA,NA,Dec-16,2016,"Advocates of the self-corrective thesis argue that scientific method will refute false theories and find closer approximations to the truth in the long run. I discuss a contemporary interpretation of this thesis in terms of frequentist statistics in the context of the behavioral sciences. First, I identify experimental replications and systematic aggregation of evidence (meta-analysis) as the self-corrective mechanism. Then, I present a computer simulation study of scientific communities that implement this mechanism to argue that frequentist statistics may converge upon a correct estimate or not depending on the social structure of the community that uses it. Based on this study, I argue that methodological explanations of the ""replicability crisis"" in psychology are limited and propose an alternative explanation in terms of biases. Finally, I conclude suggesting that scientific self-correction should be understood as an interaction effect between inference methods and social structures. (C) 2016 Elsevier Ltd. All rights reserved.",NA,"[Romero, Felipe] Tilburg Univ, Tilburg Ctr Log Eth & Philosophy Sci, POB 90153, NL-5000 LE Tilburg, Netherlands; [Romero, Felipe] Tilburg Univ, Tilburg Ctr Log Eth & Philosophy Sci, POB 90153, NL-5000 LE Tilburg, Netherlands",NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,History & Philosophy Of Science,WOS:000390737000007,NA,klein,2016
J,"Field, Sarahanne M.; Wagenmakers, Eric-Jan; Newell, Ben R.; Zeelenberg, Rene; van Ravenzwaaij, Don",NA,NA,NA,NA,NA,NA,NA,Two Bayesian Tests of the GLOMO(sys) Model,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,NA,NA,NA,145,12,NA,NA,E81,E95,NA,10.1037/xge0000067,NA,NA,Dec-16,2016,"Priming is arguably one of the key phenomena in contemporary social psychology. Recent retractions and failed replication attempts have led to a division in the field between proponents and skeptics and have reinforced the importance of confirming certain priming effects through replication. In this study, we describe the results of 2 preregistered replication attempts of 1 experiment by Forster and Denzler (2012). In both experiments, participants first processed letters either globally or locally, then were tested using a typicality rating task. Bayes factor hypothesis tests were conducted for both experiments: Experiment 1 (N = 100) yielded an indecisive Bayes factor of 1.38, indicating that the in-lab data are 1.38 times more likely to have occurred under the null hypothesis than under the alternative. Experiment 2 (N = 908) yielded a Bayes factor of 10.84, indicating strong support for the null hypothesis that global priming does not affect participants' mean typicality ratings. The failure to replicate this priming effect challenges existing support for the GLOMO(sys) model.",NA,"[Field, Sarahanne M.] Univ Newcastle, Sch Psychol, Callaghan, NSW 2308, Australia; [Field, Sarahanne M.] Univ Groningen, Dept Psychol, NL-9700 AB Groningen, Netherlands; [Wagenmakers, Eric-Jan] Univ Amsterdam, Dept Psychol, NL-1012 WX Amsterdam, Netherlands; [Newell, Ben R.] Univ New South Wales, Sch Psychol, Sydney, NSW 2052, Australia; [Zeelenberg, Rene] Erasmus Univ, Dept Psychol, Rotterdam, Netherlands; [van Ravenzwaaij, Don] Univ Groningen, Dept Groningen, NL-9700 AB Groningen, Netherlands; Univ Groningen, Heymans Inst, Dept Groningen, NL-9712 CP Groningen, Netherlands; [Field, Sarahanne M.] Univ Newcastle, Sch Psychol, Callaghan, NSW 2308, Australia",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"Psychology, Experimental",WOS:000389670000001,NA,klein,2016
J,"Kalmoe, Nathan P.; Gross, Kimberly",NA,NA,NA,NA,NA,NA,NA,"Cueing Patriotism, Prejudice, and Partisanship in the Age of Obama: Experimental Tests of US Flag Imagery Effects in Presidential Elections",NA,NA,NA,NA,NA,NA,NA,POLITICAL PSYCHOLOGY,NA,NA,NA,37,6,NA,NA,883,899,NA,10.1111/pops.12305,NA,NA,Dec-16,2016,"The American flag is a powerful symbol that campaigns seek to harness for electoral gain. But the flag's benefits may be more elusive than they appear. We begin by presenting content analysis of the flag's prevalence in 2012 U.S. presidential campaign ads, which suggests both candidates saw flags as advantageous. Then, in two experiments set during the 2012 campaign and a later study with prospective 2016 candidates, we find flag exposure provides modest but consistent benefits for Republican candidates among voters high in symbolic patriotism, racial prejudice, and Republican identification. These effects arise regardless of which candidate appears with the flag. Taken together, our results speak to both the power and limitations of the American flag in electioneering. Beyond practical implications for campaigns, these studies emphasize the heterogeneity of citizens' reactions to visual political symbols and highlight potent links between symbolic attitudes and a nation's flag.",NA,"[Kalmoe, Nathan P.] Monmouth Coll, Monmouth, IL USA; [Gross, Kimberly] George Washington Univ, Washington, DC 20052 USA; [Kalmoe, Nathan P.] Monmouth Coll, Dept Polit Sci, 700 E Broadway, Monmouth, IL 61462 USA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,"Political Science; Psychology, Social",WOS:000387770400008,NA,klein,2016
J,"Feist, Gregory J.",NA,NA,NA,NA,NA,NA,NA,Intrinsic and Extrinsic Science: A Dialectic of Scientific Fame,NA,NA,NA,NA,NA,NA,NA,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,NA,NA,NA,11,6,NA,NA,893,898,NA,10.1177/1745691616660535,NA,NA,Nov-16,2016,"In this article, I argue that scientific fame and impact exists on a continuum from the mundane to the transformative/revolutionary. Ideally, one achieves fame and impact in science by synthesizing two extreme career prototypes: intrinsic and extrinsic research. The former is guided by interest, curiosity, passion, gut, and intuition for important untapped topics. The latter is guided by money, grants, and/or what is being published in top-tier journals. Assessment of fame and impact in science ultimately rests on productivity (publication) and some variation of its impact (citations). In addition to those traditional measures of impact, there are some relatively new metrics (e.g., the h index and altmetrics). If psychology is to achieve consensual cumulative progress and better rates of replication, I propose that upcoming psychologists would do well to understand that success is not equal to fame and that individual career success is not necessarily the same as disciplinary success. Finally, if one is to have a successful and perhaps even famous career in psychological science, a good strategy would be to synthesize intrinsic and extrinsic motives for one's research.",NA,"[Feist, Gregory J.] San Jose State Univ, San Jose, CA 95192 USA; [Feist, Gregory J.] San Jose State Univ, Dept Psychol, One Washington Sq, San Jose, CA 95192 USA",NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",WOS:000389721300009,NA,klein,2016
J,"Bordalo, Pedro; Coffman, Katherine; Gennaioli, Nicola; Shleifer, Andrei",NA,NA,NA,NA,NA,NA,NA,Stereotypes,NA,NA,NA,NA,NA,NA,NA,QUARTERLY JOURNAL OF ECONOMICS,NA,NA,NA,131,4,NA,NA,1753,1794,NA,10.1093/qje/qjw029,NA,NA,Nov-16,2016,"We present a model of stereotypes based on Kahneman and Tversky's representativeness heuristic. A decision maker assesses a target group by overweighting its representative types, defined as the types that occur more frequently in that group than in a baseline reference group. Stereotypes formed this way contain a ""kernel of truth"": they are rooted in true differences between groups. Because stereotypes focus on differences, they cause belief distortions, particularly when groups are similar. Stereotypes are also context dependent: beliefs about a group depend on the characteristics of the reference group. In line with our predictions, beliefs in the lab about abstract groups and beliefs in the field about political groups are context dependent and distorted in the direction of representative types.",NA,"[Bordalo, Pedro] Univ Oxford, Said Business Sch, Oxford, England; Ohio State Univ, Columbus, OH 43210 USA; Harvard Sch Business, Boston, MA USA; Univ Bocconi, Milan, Italy; Harvard Univ, Innocenzo Gasparini Inst Econ Res, Cambridge, MA 02138 USA; [Bordalo, Pedro] Univ Oxford, Said Business Sch, Oxford, England",NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,Economics,WOS:000388576700005,NA,klein,2016
J,"Panero, Maria Eugenia; Weisberg, Deena Skolnick; Black, Jessica; Goldstein, Thalia R.; Barnes, Jennifer L.; Brownell, Hiram; Winner, Ellen",NA,NA,NA,NA,NA,NA,NA,Does Reading a Single Passage of Literary Fiction Really Improve Theory of Mind? An Attempt at Replication,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,NA,NA,NA,111,5,NA,NA,E46,E54,NA,10.1037/pspa0000064,NA,NA,Nov-16,2016,"Fiction simulates the social world and invites us into the minds of characters. This has led various researchers to suggest that reading fiction improves our understanding of others' cognitive and emotional states. Kidd and Castano (2013) received a great deal of attention by providing support for this claim. Their article reported that reading segments of literary fiction (but not popular fiction or nonfiction) immediately and significantly improved performance on the Reading the Mind in the Eyes Test (RMET), an advanced theory-of-mind test. Here we report a replication attempt by 3 independent research groups, with 792 participants randomly assigned to 1 of 4 conditions (literary fiction, popular fiction, nonfiction, and no reading). In contrast to Kidd and Castano (2013), we found no significant advantage in RMET scores for literary fiction compared to any of the other conditions. However, as in Kidd and Castano and previous research, the Author Recognition Test, a measure of lifetime exposure to fiction, consistently predicted RMET scores across conditions. We conclude that the most plausible link between reading fiction and theory of mind is either that individuals with strong theory of mind are drawn to fiction and/or that a lifetime of reading gradually strengthens theory of mind, but other variables, such as verbal ability, may also be at play.",NA,"[Panero, Maria Eugenia; Brownell, Hiram; Winner, Ellen] Boston Coll, Dept Psychol, Chestnut Hill, MA 02167 USA; [Weisberg, Deena Skolnick] Univ Penn, Dept Psychol, 425 South Univ Ave,Stephen A Levin Bldg, Philadelphia, PA 19104 USA; [Black, Jessica; Barnes, Jennifer L.] Univ Oklahoma, Dept Psychol, Norman, OK 73019 USA; [Goldstein, Thalia R.] Pace Univ, Dept Psychol, New York, NY 10038 USA; [Weisberg, Deena Skolnick] Univ Penn, Dept Psychol, 425 South Univ Ave,Stephen A Levin Bldg, Philadelphia, PA 19104 USA",NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,"Psychology, Social",WOS:000386925600001,NA,klein,2016
J,"van 't Veer, Anna Elisabeth; Giner-Sorolla, Roger",NA,NA,NA,NA,NA,NA,NA,Pre-registration in social psychology-A discussion and suggested template,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,67,NA,NA,NA,2,12,NA,10.1016/j.jesp.2016.03.004,NA,NA,Nov-16,2016,"Pre-registration of studies before they are conducted has recently become more feasible for researchers, and is encouraged by an increasing number of journals. However, because the practice of pre-registration is relatively new to psychological science, specific guidelines for the content of registrations are still in a formative stage. After giving a brief history of pre-registration in medical and psychological research, we outline two different models that can be applied reviewed and unreviewed pre-registration and discuss the advantages of each model to science as a whole and to.the individual scientist, as well as some of their drawbacks and limitations. Finally, we present and justify a proposed standard template that can facilitate pre-registration. Researchers can use the template before and during the editorial process to meet article requirements and enhance the robustness of their scholarly efforts. (C) 2016 Elsevier Inc. All rights reserved.",NA,"[van 't Veer, Anna Elisabeth] Leiden Univ, Ctr Child & Family Studies, Leiden, Netherlands; [van 't Veer, Anna Elisabeth] Tilburg Univ, Tilburg Inst Behav Econ Res, Dept Social Psychol, Tilburg, Netherlands; [Giner-Sorolla, Roger] Univ Kent, Canterbury CT2 7NP, Kent, England; [van 't Veer, Anna Elisabeth] Ctr Child & Family Studies, PO 9555, NL-2300 RB Leiden, Netherlands",NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,"Psychology, Social",WOS:000384398700002,NA,klein,2016
J,"Monin, Benoit",NA,NA,NA,NA,NA,NA,NA,Be careful what you wish for: Commentary on Ebersole et al. (2016),NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,67,NA,NA,NA,95,96,NA,10.1016/j.jesp.2016.01.007,NA,NA,Nov-16,2016,"Ebersole et al.'s (2016) attempt to replicate Monin and Miller (2001) raises important questions about choosing beforehand which statistical test is the target of a replication. While our original theory a priori only predicted a main effect of the credentials manipulation, we had observed in the study reproduced here an unexpected interaction with participant gender. The current paper fails to replicate this originally unpredicted interaction, which it initially codes as a failure (Table 3), but significantly replicates the main effect of the credentials manipulation as an ""added effect."" Ebersole et al. graciously acknowledge that the latter effect is of greater theoretical importance to our original theory, but the fact remains that the main pre-registered prediction for this replication (the interaction with gender) failed to garner empirical support. In this brief commentary I discuss issues with deciding a priori what should count as a replication, and own up to my responsibility making the ill-fated gender interaction be the centerpiece of this replication attempt. (C) 2016 Elsevier Inc. All rights reserved.",NA,"[Monin, Benoit] Stanford Univ, Stanford, CA 94305 USA; [Monin, Benoit] Stanford Univ, Knight Management Ctr, Stanford Grad Sch Business, 655 Knight Way, Stanford, CA 94305 USA; [Monin, Benoit] Stanford Univ, Knight Management Ctr, Stanford Grad Sch Business, 655 Knight Way, Stanford, CA 94305 USA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Psychology, Social",WOS:000384398700018,NA,klein,2016
